_id,mese,anno,cod_amministrazione,amministrazione,sigla_provincia,cod_regione,giorni_assenza,numero_dipendenti,motivo_assenza,periodo_rif,timestamp_carico,note,flusso,Sigla Provincia,COD REGIONE,2motivo,giorni assenza
7c9ca821974d6048813104c0,9,2024,145,MINISTERO DEL TURISMO,TN,10,26,1869,Permesso legge 104,202409,2025-04-28T13:48:43.454,,,TN,10,Permesso legge 104,26
160566e17e1d5b449885b76a,6,2024,188,AGENZIA DEL DEMANIO,BZ,16,34,2618,Aspettativa non retribuita,202406,2025-11-12T14:13:01.182,,,BZ,16,Aspettativa non retribuita,34
d250d3c3b2a50b653aa66fda,6,2024,288,MINISTERO DEGLI AFFARI ESTERI,MI,14,27,2027,Donazione sangue,202406,2025-08-10T01:40:25.685,,,MI,14,Donazione sangue,27
145017907d54349f19619c26,8,2023,258,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,,16,33,453,Permesso legge 104,202308,2025-11-24T13:43:09.344,,,BS,16,Permesso legge 104,33
9b03dfdb8f46c922505009e3,2,2023,127,AGENZIA NAZIONALE POLITICHE ATTIVE LAVORO,BZ,11,15,2643,Donazione sangue,202302,2025-06-26T21:26:22.678,,,BZ,11,Donazione sangue,15
1695faeee841481929572f16,2,2023,78,AGENZIA DELLE ENTRATE,PZ,06,15,2370,Permesso legge 104,202302,2025-03-18T07:43:25.118,,,PZ,06,Permesso legge 104,15
c96d3935d6ebec0ea9ea1187,12,2023,145,MINISTERO DEL TURISMO,LE,02,34,2313,Permesso legge 104,202312,2025-08-08T19:41:54.544,,,LE,02,Permesso legge 104,34
d4ef416f80bbb8ff163879b2,8,2024,56,MINISTERO DELLA DIFESA,BA,15,20,3893,Permesso legge 104,202408,2025-08-12T02:51:07.579,,,BA,15,Permesso legge 104,20
ca294e6d31bae79c6c505c01,7,2024,219,ENTE NAZIONALE PER L'AVIAZIONE CIVILE,SS,18,46,1335,Infortunio,202407,2025-06-26T04:20:44.242,,,SS,18,Infortunio,46
abf651b5d652e78c72b93320,11,2024,258,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,FI,04,16,474,Congedo parentale,202411,2025-07-24T08:40:40.855,,,FI,04,Congedo parentale,16
f1069cd5f6233ef977f048dc,Giugno,2023,174,MINISTERO DELLA CULTURA,TN,11,19,1650,Aspettativa non retribuita,202306,2025-10-09T22:16:09.417,,,TN,11,Aspettativa non retribuita,19
acd49867af759b1b396c86bc,5,2023,12,MINISTERO DELL'ISTRUZIONE E DEL MERITO,BS,19,11,1579,Assenza per concorso,202305,1745361581,,,BS,19,Assenza per concorso,11
60f8c4a13c3e0f4fbb074f6e,4,2023,145,MINISTERO DEL TURISMO,CZ,14,54,2527,Assenza per concorso,202304,2025-11-01T18:11:30.729,,,CZ,14,Assenza per concorso,54
21bc3ef99447bb4fea541064,NOV,2023,162,ISTITUTO NAZIONALE DI ASTROFISICA,GE,01,40,1515,Congedo parentale,202311,2025-11-28T04:41:52.280,,,GE,01,Congedo parentale,40
e070f84a669c1c99827e4e9a,3,2023,258,n.d.,CZ,03,31,303,Permesso sindacale,202303,2025-08-20T15:41:19.549,,,CZ,03,Permesso sindacale,31
8ef231d79ce5f885901fa678,4,2024,288,MINISTERO DEGLI AFFARI ESTERI,VE,06,50,1851,Assenza per concorso,202404,2025-09-07T03:03:19.226,,,VE,06,Assenza per concorso,50
1125be7951d03494e6c4ea78,5,2023,258,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,BO,20,33,2321,Congedo matrimoniale,202305,2025-10-18T11:11:41.169,,,BO,20,Congedo matrimoniale,33
e97804232734eca5e5dec4ad,11,2023,233,ISTITUTO NAZIONALE DI GEOFISICA E VULCANOLOGIA,PG,11,16,894,Aspettativa non retribuita,202311,2025-06-24T21:48:49.357,,,PG,11,Aspettativa non retribuita,16
5216a7d4cf31f8a1176376ec,11,24,233,ISTITUTO NAZIONALE DI GEOFISICA E VULCANOLOGIA,LE,11,52,1344,Congedo matrimoniale,202411,2025-09-21T03:52:29.622,,,LE,11,Congedo matrimoniale,52
638f0c3c5e0d34399473a019,Luglio,2023,247,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,CT,16,16,754,Ferie,202307,2025-03-03T23:03:48.433,,,CT,16,Ferie,16
0a977bf120f23f0912484d29,2,2023,162,ISTITUTO NAZIONALE DI ASTROFISICA,AQ,18,44,590,Malattia,202302,2025-03-13T19:03:52.438,,,AQ,18,Malattia,44
29939e5b59ecb5f3cf34f131,11,2024,258,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,?,15,13,55,Permesso sindacale,202411,2025-11-17T14:05:41.035,,,SS,15,Permesso sindacale,13
6a3c5d619e0332b2d32aa434,6,2024,78,AGENZIA DELLE ENTRATE,FI,14,26,2085,Congedo matrimoniale,202406,2025-08-16T00:01:04.482,,,FI,14,Congedo matrimoniale,26
f2693d3491e6762a4f62244a,3,2023,279,AVVOCATURA GENERALE DELLO STATO,BZ,05,31,712,Permesso sindacale,202303,2025-11-18T08:19:22.931,,,BZ,05,Permesso sindacale,31
2d5134158ed57d28783aea44,5,2024,219,ENTE NAZIONALE PER L'AVIAZIONE CIVILE,PG,20,30,3905,Infortunio,202405,2025-05-15T11:47:40.387,,,PG,20,Infortunio,30
f35a127955ffa20e4d54e0dc,4,2023,91,ISTITUTO SUPERIORE DI SANITA',PZ,10,14,2705,Permesso legge 104,202304,2025-07-02T20:58:25.390,,,PZ,10,Permesso legge 104,14
7d7a49bec41d8ca424d36462,5,2023,12,MINISTERO DELL'ISTRUZIONE E DEL MERITO,NA,20,46,2010,Permesso sindacale,202305,2025-07-18T04:37:54.614,,,NA,20,Permesso sindacale,46
7697a55bff714ed853254b08,1,2024,288,MINISTERO DEGLI AFFARI ESTERI,PD,18,25,1879,Malattia,202401,27.09.2025,,,PD,18,Malattia,25
64dd46f6b3f2f323742572e4,4,2023,219,ENTE NAZIONALE PER L'AVIAZIONE CIVILE,BS,09,43,326,Permesso sindacale,202304,2025-08-11T23:23:56.333,,,BS,09,Permesso sindacale,43
4cbf81969307b73a1ea8795c,5,2024,258,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,,09,18,2162,Ferie,202405,2025-10-20T05:24:04.710,,,BA,09,Ferie,18
a58002cae739bd402c667821,11,2023,288,MINISTERO DEGLI AFFARI ESTERI,AN,02,42,1327,Donazione sangue,202311,2025-03-10T01:02:37.765,dato provvisorio,,AN,02,Donazione sangue,42
4ea67453f08b55039590643c,5,2024,279,AVVOCATURA GENERALE DELLO STATO,?,07,45,541,Congedo parentale,202405,2025-07-03T14:03:10.510,,,CT,07,Congedo parentale,45
12ae47ead058c635ab37ed65,11,2023,127,AGENZIA NAZIONALE POLITICHE ATTIVE LAVORO,VR,19,16,2041,Congedo matrimoniale,202311,2025-03-05T17:51:10.766,,,VR,19,Congedo matrimoniale,16
46d0e6b734f4e10f1db85d5e,7,2023,247,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,PZ,01,20,210,Ferie,202307,2025-07-13T20:06:38.635,,,PZ,01,Ferie,20
d3900d3b78243828f75da22b,10,2024,162,ISTITUTO NAZIONALE DI ASTROFISICA,MI,09,53,2027,Congedo parentale,202410,2025-06-19T00:31:01.366,,,MI,09,Congedo parentale,53
3666ee2b301d367d80ff23f0,Giugno,2024,174,,AO,05,20,1553,Assenza per concorso,202406,2025-11-23T14:30:53.743,,,AO,05,Assenza per concorso,20
a372d54818eac4d656bfe3e2,5,2023,34,MINISTERO DELLA GIUSTIZIA,VR,03,19,2371,Aspettativa non retribuita,202305,2025-07-23T12:07:51.207,,,VR,03,Aspettativa non retribuita,19
c77bcf37124ec0e7f6f59ff0,5,2023,233,ISTITUTO NAZIONALE DI GEOFISICA E VULCANOLOGIA,BA,20,19,3340,Malattia,202305,2025-03-20T20:28:03.072,,,BA,20,Malattia,19
70a07ee6b5397b4612a758a9,10,2024,56,MINISTERO DELLA DIFESA,BS,12,26,2360,ASPETTATIVA NON RETRIBUITA,202410,2025-11-18T06:05:03.850,,,BS,12,Aspettativa non retribuita,26
f2da42e727731279d1e888fc,8,2024,162,ISTITUTO NAZIONALE DI ASTROFISICA,PA,03,42,1822,Donazione sangue,202408,2025-08-08T14:39:24.029,,,PA,03,Donazione sangue,42
800a673e20b88042bd2640cb,11,2023,188,?,CT,01,28,424,Aspettativa non retribuita,202311,2025-09-17T03:22:48.593,,,CT,01,Aspettativa non retribuita,28
2285c55d82b805843fee152e,2,2024,279,AVVOCATURA GENERALE DELLO STATO,PZ,15,34,3932,Aspettativa non retribuita,202402,2025-11-14T21:44:01.509,,,PZ,15,Aspettativa non retribuita,34
e4fe2663740d5c5dde6b250f,8,2023,162,ISTITUTO NAZIONALE DI ASTROFISICA,TO,09,45,270,Permesso legge 104,202308,2025-08-31T01:52:27.646,,,TO,09,Permesso legge 104,45
dcfdee35a9bc9ce56ed16b34,12,2023,118,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,LE,01,27,3346,Congedo matrimoniale,202312,2025-07-23T14:52:56.391,,,LE,01,Congedo matrimoniale,27
1695925eae61a0b8817c578c,12,2024,12,MINISTERO DELL'ISTRUZIONE E DEL MERITO,BO,10,33,2738,Permesso sindacale,202412,1753119622,,,BO,10,Permesso sindacale,33
e9be42610a0ba2819fc4ec57,LUG,2024,201,MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA,,10,29,2817,Ferie,202409,29.03.2025,,,CA,10,Ferie,29
d8a1cebdb459dcd69d063518,Aprile,2023,247,,PD,04,45,2557,Malattia,202304,2025-07-18T04:33:27.506,,,PD,04,Malattia,45
f902098062163ddfd44735c9,7,2023,288,MINISTERO DEGLI AFFARI ESTERI,PA,17,44,77,Congedo parentale,202307,2025-02-26T23:57:22.338,,,PA,17,Congedo parentale,44
87950776a84912cfa19c36e4,10,2023,103,CONSIGLIO NAZIONALE DELLE RICERCHE,CT,14,41,2574,Infortunio,202310,2025-10-12T12:49:08.713,,,CT,14,Infortunio,41
732e62f56b3300891a392ea8,9,2024,201,MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA,TO,08,13,1434,Infortunio,202409,2025-07-07T16:26:43.737,,,TO,08,Infortunio,13
a103a82a54ce22e2b2203e4d,4,2024,258,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,AN,,19,395,Congedo matrimoniale,202404,2025-11-08T18:50:01.625,,,AN,18,Congedo matrimoniale,19
b396811d120b40f1d51d1114,Dicembre,2023,174,MINISTERO DELLA CULTURA,AO,01,41,1932,Ferie,202312,2025-09-25T22:05:05.288,,,AO,01,Ferie,41
985c516e94bf37852bf6ac6e,5,2024,56,MINISTERO DELLA DIFESA,TN,17,21,3848,Permesso legge 104,202405,2025-05-16T13:35:25.610,,,TN,17,Permesso legge 104,21
11237cd1998e46209dacec82,MAG,2023,288,MINISTERO DEGLI AFFARI ESTERI,BS,04,25,274,Aspettativa non retribuita,202305,2025-06-18T21:09:50.483,,,BS,04,Aspettativa non retribuita,25
22de4fba2cf73e8a6ae25f28,9,2024.,78,AGENZIA DELLE ENTRATE,BA,20,37 giorni,242,Infortunio,202409,1754214950,,,BA,20,Infortunio,37
8f62e90c24647c3c3625e1f8,6,2023,78,AGENZIA DELLE ENTRATE,LE,09,33,1063,Infortunio,202306,2025-09-23T05:23:46.079,,,LE,09,Infortunio,33
082c695797782581d75b5cb5,10,2023,219,ENTE NAZIONALE PER L'AVIAZIONE CIVILE,AQ,12,24,2227,Permesso sindacale,202310,2025-09-27T22:59:08.539,,,AQ,12,Permesso sindacale,24
2339ff62545fac098b6eb813,11,2023,219,ENTE NAZIONALE PER L'AVIAZIONE CIVILE,TS,17,57,1307,Congedo parentale,202311,2025-10-06T00:50:46.944,,,TS,17,Congedo parentale,57
0a367b208ea4ebcd489a2dce,11,2023,34,MINISTERO DELLA GIUSTIZIA,AQ,20,40,1073,Aspettativa non retribuita,202311,2025-10-12T15:25:00.817,,,AQ,20,Aspettativa non retribuita,40
832aedd817551d08540cb767,2,2024,188,AGENZIA DEL DEMANIO,CB,04,48,2308,Congedo matrimoniale,202402,2025-02-21T20:44:14.796,,,CB,04,Congedo matrimoniale,48
5723909713b830ce902743bc,11,2024,118,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,PG,10,39,1032,Congedo matrimoniale,202411,2025-09-30T10:21:25.718,,,PG,10,Congedo matrimoniale,39
1ac9029f531c350ec2c0afd4,8,2023,288,MINISTERO DEGLI AFFARI ESTERI,AN,04,34 giorni,3113,Infortunio,202308,1744550375,,,AN,04,Infortunio,34
3ce00abf1075532583d481ed,8,2023,288,MINISTERO DEGLI AFFARI ESTERI,CZ,15,47,8,Donazione sangue,202308,2025-09-10T02:19:06.563,,,CZ,15,Donazione sangue,47
37b7c6ffa61e65c29ee061a2,9,2023,118,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,CA,19,20,3662,Donazione sangue,202309,2025-08-05T15:40:34.885,,,CA,19,Donazione sangue,20
48bf6ab0c84768dea9d6c906,mese 3,2024.,233,ISTITUTO NAZIONALE DI GEOFISICA E VULCANOLOGIA,CB,09,50,2258,Aspettativa non retribuita,202403,1740873320,dato provvisorio,,CB,09,Aspettativa non retribuita,50
3b4daff6f37ca3e6d960f366,9,2024,34,MINISTERO DELLA GIUSTIZIA,TS,01,46,2936,Malattia,202409,2025-12-01T02:04:11.531,,,TS,01,Malattia,46
2347874b0c64e3f62f232279,APR,2024,12,MINISTERO DELL'ISTRUZIONE E DEL MERITO,PA,14,19,3549,Aspettativa non retribuita,202404,20.08.2025,,,PA,14,Aspettativa non retribuita,19
bb478ca56250f132d53e1521,7,2023,233,ISTITUTO NAZIONALE DI GEOFISICA E VULCANOLOGIA,PZ,14,43,2537,Congedo parentale,202307,2025-07-26T07:11:24.352,dato provvisorio,,PZ,14,Congedo parentale,43
d59c073c3f497e713dd2c0cc,1,2023,78,AGENZIA DELLE ENTRATE,BZ,06,35,2213,Donazione sangue,202301,2025-05-22T05:08:51.270,,,BZ,06,Donazione sangue,35
5b54340179a4ab123f86f4a1,10,2023,219,ENTE NAZIONALE PER L'AVIAZIONE CIVILE,PZ,19,51,2586,FERIE,202310,30.03.2025,,,PZ,19,Ferie,51
c7ff176153b94bb7c5b4ea0c,9,2023,162,ISTITUTO NAZIONALE DI ASTROFISICA,RC,02,45,3574,Permesso legge 104,202309,2025-09-28T00:56:32.120,,,RC,02,Permesso legge 104,45
64c699cc75780771b40c5b59,7,2024,247,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,LE,18,50,2556,Congedo matrimoniale,202407,2025-08-30T16:32:37.595,,,LE,18,Congedo matrimoniale,50
6f6d048e1a74549c7ff228f9,AGO,2023,233,ISTITUTO NAZIONALE DI GEOFISICA E VULCANOLOGIA,CA,13,19,468,Congedo matrimoniale,202308,2025-09-04T18:46:54.972,,,CA,13,Congedo matrimoniale,19
bdbc69639dfe115442a02c3c,7,2023,118,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,PG,20,51,2715,Congedo matrimoniale,202307,2025-03-09T12:57:11.030,,,PG,20,Congedo matrimoniale,51
86a3e1dbf2d7cdb0d6fae8ca,5,2024,sconosciuto,ENTE NAZIONALE PER L'AVIAZIONE CIVILE,CT,09,43,3806,Ferie,202405,2025-07-31T22:19:10.771,,,CT,09,Ferie,43
db668328baede30d2e37a044,8,2023,127,AGENZIA NAZIONALE POLITICHE ATTIVE LAVORO,PG,11,32,3539,Permesso legge 104,202308,2025-04-16T18:14:03.474,,,PG,11,Permesso legge 104,32
b073be193c1df4b5f41e54b1,2,2023,34,MINISTERO DELLA GIUSTIZIA,AN,14,47 giorni,2604,Permesso legge 104,202302,2025-09-25T16:56:38.629,,,AN,14,Permesso legge 104,47
