id_record,mese_competenza,codice_amministrazione,amministrazione,sigla_sindacale,descrizione_sindacale,numero_deleghe,importo_ritenuto,importo_versato,differenza,comparto,stato_flusso,note_operatore,Codice Amministrazione
128ec5b5-6070-4362-043d-2f3814298261,2024-04,00219,ENTE NAZIONALE PER L'AVIAZIONE CIVILE,ANIEF,Associazione Nazionale Insegnanti e Formatori,466,2394.88,2347.27,47.61,FUNZIONI CENTRALI,CONSOLIDATO,,219
a1e2a160-324f-108d-9443-97d714e90e5d,2023-01,00279,AVVOCATURA GENERALE DELLO STATO,SNALS,Sindacato Nazionale Autonomo Lavoratori Scuola,402,3777.57,3754.9,22.67,FUNZIONI CENTRALI,CONSOLIDATO,,279
55f8682a-9495-9db9-fca1-20d2702c95a3,2024-08,00288,MINISTERO DEGLI AFFARI ESTERI,UIL PA,Unione Italiana Lavoratori PA,604,1618.1,1585.33,32.77,FUNZIONI CENTRALI,CONSOLIDATO,,288
2176eba0-9b40-b68d-25d0-b4094ea88fdc,2023-03,00174,MINISTERO DELLA CULTURA,CSE,Confederazione Sindacati Europei,321,15131.49,14778.05,353.44,FUNZIONI CENTRALI,CONSOLIDATO,,174
016b1128-9484-fe27-9e55-51d9af461eb8,2023-11,00118,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,FLP,Federazione Lavoratori Pubblici,501,2097.28,2071.13,26.15,FUNZIONI CENTRALI,CONSOLIDATO,,118
892063b8-cd22-796d-e97f-cb44eba3033e,2024-09,00145,MINISTERO DEL TURISMO,SNALS,Sindacato Nazionale Autonomo Lavoratori Scuola,88,7292.8,7250.8,42.0,FUNZIONI CENTRALI,CONSOLIDATO,,145
eb5c7e4b-8925-a803-b3c4-934653014002,2024-02,00145,MINISTERO DEL TURISMO,FLP,Federazione Lavoratori Pubblici,653,11944.95,11752.61-,192.34,FUNZIONI CENTRALI,CONSOLIDATO,,145
b27befac-4a54-0e81-e31e-d447d7af21df,2023-11,00219,ENTE NAZIONALE PER L'AVIAZIONE CIVILE,CGIL FP,Federazione Lavoratori Funzione Pubblica CGIL,480,5377.32,5342.29,35.03,FUNZIONI CENTRALI,CONSOLIDATO,,219
44969a6b-783a-f030-249d-564040a9e6ac,2023-05,00118,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,ANIEF,Associazione Nazionale Insegnanti e Formatori,237,4070.99,3994.52,76.47,FUNZIONI CENTRALI,CONSOLIDATO,,118
47b71574-b0d6-5529-6846-e1825a5032ec,2024-03,00056,MINISTERO DELLA DIFESA,SNALS,Sindacato Nazionale Autonomo Lavoratori Scuola,777,3069.34,3067.15,2.19,SICUREZZA-DIFESA,CONSOLIDATO,,56
6d2b986f-4c08-ff93-e4c0-307e5140c87b,2024-02,00118,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,CGIL FP ,Federazione Lavoratori Funzione Pubblica CGIL,36,9304.89,9111.03,331.15,FUNZIONI CENTRALI,CONSOLIDATO,,118
8334bb13-d4f8-53a8-dfcf-d1fe44ddb509,2024-02,00078,AGENZIA DELLE ENTRATE,CGIL FP,Federazione Lavoratori Funzione Pubblica CGIL,880,114.35,111.9,2.45,FUNZIONI CENTRALI,CONSOLIDATO,,78
a1b25c13-30de-c8b6-5924-0d57eda0fce1,2023-03,00103,CONSIGLIO NAZIONALE DELLE RICERCHE,ANIEF,Associazione Nazionale Insegnanti e Formatori,625,3841.44,3782.09,59.35,ISTRUZIONE E RICERCA,CONSOLIDATO,,103
d7110b2b-66ae-708d-d7ad-41cdb3bd8687,2023-01,00258,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,INTESA FP,Intesa Funzione Pubblica,703,7365.37,7280.79,84.58,FUNZIONI CENTRALI,CONSOLIDATO,,258
895325de-7b6b-c51e-3c23-7650433432f0,2024-06,00127,AGENZIA NAZIONALE POLITICHE ATTIVE LAVORO,CONFSAL UNSA,Confederazione Sindacati Autonomi Lavoratori,688,17306.94,16890.87,416.07,FUNZIONI CENTRALI,CONSOLIDATO,,127
0ba66c23-c91e-17cf-476d-c13596adeb9a,2023-03,00118,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,USB PI,Unione Sindacale di Base,855,448749,4456.94,30.55,FUNZIONI CENTRALI,CONSOLIDATO,,118
6f3456a3-9a4b-c98f-125a-1fea62de6031,2024-02,00233,ISTITUTO NAZIONALE DI GEOFISICA E VULCANOLOGIA,CISL FP,Federazione Pubblica CISL,283,2225.81,2184.18,41.63,ISTRUZIONE E RICERCA,CONSOLIDATO,,233
a974eae7-9947-c199-f17c-a7166840fd0a,2024-11,00145,MINISTERO DEL TURISMO,CGIL FP,Federazione Lavoratori Funzione Pubblica CGIL,801,3160.49,3148.15,12.34,FUNZIONI CENTRALI,CONSOLIDATO,rettifica manuale,145
b0ef937d-9e65-5f48-0e4e-9a1603d31884,2024-01,00266,CORTE DEI CONTI,CISL FP,Federazione Pubblica CISL,217,42499.29,41275.0,1224.29,FUNZIONI CENTRALI,CONSOLIDATO,,266
5f28ea3d-ec01-ba33-dd13-65a8b5b25594,2023-09,00233,ISTITUTO NAZIONALE DI GEOFISICA E VULCANOLOGIA,UIL PA,Unione Italiana Lavoratori PA,112,6243.58,6165.16,78.42,ISTRUZIONE E RICERCA,CONSOLIDATO,,233
0f5d5fa0-d2df-04b3-e304-ff183f7415b6,2024-01,00266,CORTE DEI CONTI,USB PI,Unione Sindacale di Base,510,5684.06,5542.82,141.24,FUNZIONI CENTRALI,CONSOLIDATO,,266
ea0ccbe2-9987-1d22-3c79-f4e3d7d9de37,2024-02,00219,ENTE NAZIONALE PER L'AVIAZIONE CIVILE,ANIEF,Associazione Nazionale Insegnanti e Formatori,306,29682.97,29142.29,540.68,FUNZIONI CENTRALI,CONSOLIDATO,,219
52a4e076-8380-f9eb-abb1-db47b7e6a08b,2024-02,00162,ISTITUTO NAZIONALE DI ASTROFISICA,cgil fp,--,458,3422.34,3357.84,64.5,ISTRUZIONE E RICERCA,CONSOLIDATO,,162
7a882bc4-9355-04e0-e67f-b50979380cdb,2024-06,00012,MINISTERO DELL'ISTRUZIONE E DEL MERITO,CSE,Confederazione Sindacati Europei,471,2021.83,2003.23,18.6,ISTRUZIONE E RICERCA,CONSOLIDATO,,12
1e5c133c-e7db-e7c8-1bf9-5db0ef23e09f,2024-09,00091,ISTITUTO SUPERIORE DI SANITA',UIL PA,Unione Italiana Lavoratori PA,466,2333.07,2332.71,0.36,SANITA',CONSOLIDATO,,91
04eba09f-910f-679b-941c-c529a5a4adda,2023-04,00162,ISTITUTO NAZIONALE DI ASTROFISICA,INTESA FP,Intesa Funzione Pubblica,412,4842.09,4815.21,26.88,ISTRUZIONE E RICERCA,CONSOLIDATO,,162
c8fccbcf-565d-d19d-6e78-9355f4387ee1,2024-12,00279,AVVOCATURA GENERALE DELLO STATO,FLP,Federazione Lavoratori Pubblici,534,569.58,558.78,10.8,FUNZIONI CENTRALI,CONSOLIDATO,,279
8e8d916b-7092-0cae-8087-1d319951c35c,2023-11,00174,MINISTERO DELLA CULTURA,Cisl Fp,Federazione Pubblica CISL,853,51382.88,50999.28,383.6,FUNZIONI CENTRALI,CONSOLIDATO,,174
c95850fe-f66d-16a0-7832-c1262022914b,2024-09,00258,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,UIL PA,Unione Italiana Lavoratori PA,253,2304.94,2300.61,4.33,FUNZIONI CENTRALI,CONSOLIDATO,,258
91a1dbbb-2c91-78d2-7790-d632495d2af1,2023-07,00201,MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA,Confsal Unsa,Confederazione Sindacati Autonomi Lavoratori,370,18099.36,18002.96,96.4,FUNZIONI CENTRALI,CONSOLIDATO,,201
f5f53927-308f-0fe7-519f-ce02a869b49a,2023-02,00174,MINISTERO DELLA CULTURA,UIL PA,Unione Italiana Lavoratori PA,278,6357.84,6172.42,185.42,FUNZIONI CENTRALI,CONSOLIDATO,,174
aaabcf6e-cf5a-7b8a-c46f-31a9c0cf23e6,2024-10,00247,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,SNALS,Sindacato Nazionale Autonomo Lavoratori Scuola,512,4633.05,4527.11,105.94,FUNZIONI CENTRALI,CONSOLIDATO,rettifica manuale,247
97210233-b020-b3d0-9f1f-81ccd4511096,2023-01,00201,MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA,INTESA FP,Intesa Funzione Pubblica,767,3082.47,3018.73,63.74,FUNZIONI CENTRALI,CONSOLIDATO,,201
6d68d58f-04af-91d8-906d-a6613179351a,2024-04,00091,ISTITUTO SUPERIORE DI SANITA',CISL FP,Federazione Pubblica CISL,203,19188.73,19051.24,137.49,SANITA',CONSOLIDATO,,91
364fd872-3a40-4c1b-c039-7f7459f4d6f4,2024-05,00078,AGENZIA DELLE ENTRATE,CGIL FP,Federazione Lavoratori Funzione Pubblica CGIL,549,20272.07,20220.22,51.85,FUNZIONI CENTRALI,CONSOLIDATO,,78
2684b71f-aa1f-a2a0-a221-6d133c07c3e4,2024-02,00118,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,ANIEF,Associazione Nazionale Insegnanti e Formatori,204,149232,1453.84,38.48,FUNZIONI CENTRALI,CONSOLIDATO,,118
24adc40a-ff9d-5b30-048a-0c91b87ae90b,2023-04,00012,MINISTERO DELL'ISTRUZIONE E DEL MERITO,UIL PA,Unione Italiana Lavoratori PA,87,4917.37,4796.9,120.47,ISTRUZIONE E RICERCA,CONSOLIDATO,,12
24bbde9f-9e4d-4118-603a-4f716d56e53b,2024-07,,ISTITUTO NAZIONALE DI ASTROFISICA,UIL PA ,Unione Italiana Lavoratori PA,508,11785.51,11649.1,136.41,ISTRUZIONE E RICERCA,CONSOLIDATO,,162
c4ba86b4-2e76-4343-f41f-f992373c3cb8,2024-04,00247,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,Cisl Fp,Federazione Pubblica CISL,640,2437.07,2394.04,43.03,FUNZIONI CENTRALI,CONSOLIDATO,,247
b23de415-8639-2b5c-ca6f-6fef7994d59f,2024-06,00127,AGENZIA NAZIONALE POLITICHE ATTIVE LAVORO,UIL PA,Unione Italiana Lavoratori PA,607,1293.19,1255.77,37.42,FUNZIONI CENTRALI,CONSOLIDATO,,127
aebf59f7-475a-95e7-dab5-1dc0970e002b,2024-08,00174,MINISTERO DELLA CULTURA,USB PI,Unione Sindacale di Base,10,1412.42,1387.33,25.09,FUNZIONI CENTRALI,CONSOLIDATO,,174
c57fcc53-b285-26e1-6080-9fed22bf9cb8,2023-02,00247,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,CISL FP,Federazione Pubblica CISL,120,7018.29,6900.76,117.53,FUNZIONI CENTRALI,CONSOLIDATO,,247
6a4800d1-356c-497d-13cf-440b8c62ed8f,2023-01,00162,ISTITUTO NAZIONALE DI ASTROFISICA,SNALS,Sindacato Nazionale Autonomo Lavoratori Scuola,560,1606.95,1566.77,40.18,ISTRUZIONE E RICERCA,CONSOLIDATO,,162
e558bf0c-9fc9-03ed-57bb-3ba32b669cc5,2024-04,00288,MINISTERO DEGLI AFFARI ESTERI,USB PI,Unione Sindacale di Base,125,9243.16,9045.0,198.16,FUNZIONI CENTRALI,CONSOLIDATO,,288
410d5aa4-d556-f9ac-97ed-8b271429a9ac,2023-07,00118,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,UIL PA,Unione Italiana Lavoratori PA,626,203876,2018.77,19.99,FUNZIONI CENTRALI,CONSOLIDATO,,118
eb560062-0402-6984-eae5-3865e357cfae,2024-10,00103,CONSIGLIO NAZIONALE DELLE RICERCHE,CGIL FP,Federazione Lavoratori Funzione Pubblica CGIL,758,7054.46,6990.85,63.61,ISTRUZIONE E RICERCA,CONSOLIDATO,,103
6797680c-9448-b989-8900-6379c5faa08a,2024-07,,MINISTERO DEL TURISMO,CISL FP,Federazione Pubblica CISL,773,1171.89,1169.61,2.28,FUNZIONI CENTRALI,CONSOLIDATO,,145
9cf52923-6045-6818-9435-2d20cf086f4c,2024-03,00078,AGENZIA DELLE ENTRATE,CONFSAL UNSA,Confederazione Sindacati Autonomi Lavoratori,140,386917,3832.37,36.8,FUNZIONI CENTRALI,CONSOLIDATO,,78
71ef5ce6-28d8-12d7-39cd-ec33991fda27,2024-07,00127,AGENZIA NAZIONALE POLITICHE ATTIVE LAVORO,CGIL FP,Federazione Lavoratori Funzione Pubblica CGIL,197,670.35,657.31,13.04,FUNZIONI CENTRALI,CONSOLIDATO,,127
4b3f4b05-b68d-0de9-e93e-52e213a9805a,2023-09,00127,AGENZIA NAZIONALE POLITICHE ATTIVE LAVORO,CSE,Confederazione Sindacati Europei,476,8035.71,7957.54,78.17,FUNZIONI CENTRALI,CONSOLIDATO,,127
dc2fa2b7-cc79-af69-f76c-aaab0bb2423d,2024-09,00201,MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA,CISL FP,--,827,740.42,733.68,6.74,FUNZIONI CENTRALI,CONSOLIDATO,,201
8634be3d-7768-a0b7-1717-a02830f1d2d4,2024-09,00247,MINISTERO DELLE IMPRESE E DEL MADE IN ITALY,CGIL FP,Federazione Lavoratori Funzione Pubblica CGIL,180,1447.44,1441.27,6.17,FUNZIONI CENTRALI,CONSOLIDATO,,247
d674042a-0d0c-c209-7383-7c23877844ec,2023-06,00233,ISTITUTO NAZIONALE DI GEOFISICA E VULCANOLOGIA,UIL PA,ND,692,360.99,354.65,6.34,ISTRUZIONE E RICERCA,CONSOLIDATO,,233
9c46c24e-386a-6c24-bdcb-9fa50a40370f,2024-04,00162,ISTITUTO NAZIONALE DI ASTROFISICA,CISL FP,Federazione Pubblica CISL,114,4366.73,4265.31,101.42,ISTRUZIONE E RICERCA,CONSOLIDATO,,162
31237e44-2d93-808b-3445-aa9d8732054c,2023-05,00091,ISTITUTO SUPERIORE DI SANITA',uil pa,Unione Italiana Lavoratori PA,399,14228.24,14078.51,149.73,SANITA',CONSOLIDATO,,91
8944b88c-6c3a-4518-d9d6-04b484d729a1,2024-05,00127,AGENZIA NAZIONALE POLITICHE ATTIVE LAVORO,CISL FP,Federazione Pubblica CISL,124,2444.36,2432.14,12.22,FUNZIONI CENTRALI,CONSOLIDATO,,127
60afa61c-73ab-6502-85a6-70522c812cc5,2024-12,ND,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,SNALS,Sindacato Nazionale Autonomo Lavoratori Scuola,1,858519,8564.17,21.02,FUNZIONI CENTRALI,CONSOLIDATO,,118
f809812c-6db5-58d2-45fc-c55f251d3dca,2023-11,00034,MINISTERO DELLA GIUSTIZIA,SNALS,Sindacato Nazionale Autonomo Lavoratori Scuola,28,14372.43,14082.52,289.91,FUNZIONI CENTRALI,CONSOLIDATO,,34
9a461f94-6d70-84d6-c69c-55ebc050a657,2023-07,00012,MINISTERO DELL'ISTRUZIONE E DEL MERITO,CGS,Confederazione Generale Sindacale,140,2910.47,2910.27,0.2,ISTRUZIONE E RICERCA,CONSOLIDATO,,12
e86ad887-5c79-7225-ebc5-28c71971270f,2023-01,00056,MINISTERO DELLA DIFESA,USB PI,Unione Sindacale di Base,840,2495.19,2457.76,37.43,SICUREZZA-DIFESA,CONSOLIDATO,,56
6d992aff-9dea-c2de-9229-a2108ca08af7,2024-02,00279,AVVOCATURA GENERALE DELLO STATO,CONFSAL UNSA,Confederazione Sindacati Autonomi Lavoratori,877,921.7,905.68,16.02,FUNZIONI CENTRALI,CONSOLIDATO,,279
179cf743-a733-9b63-2534-c2fb5e231c33,2023-10,00288,MINISTERO DEGLI AFFARI ESTERI,CONFSAL UNSA,Confederazione Sindacati Autonomi Lavoratori,123,1796.7,1786.79,9.91,FUNZIONI CENTRALI,CONSOLIDATO,,288
552595e1-f47c-0fe8-a9f5-0bca8059c15e,2024-10,00266,CORTE DEI CONTI,SNALS,Sindacato Nazionale Autonomo Lavoratori Scuola,442,1876.06,1844.85,31.21,FUNZIONI CENTRALI,CONSOLIDATO,,266
a50838e9-407a-eb71-303c-cc4f02bd73cd,2023-01,00266,CORTE DEI CONTI,ANIEF,Associazione Nazionale Insegnanti e Formatori,826,6986.84,6848.46,138.38,FUNZIONI CENTRALI,CONSOLIDATO,,266
ab0643a2-1146-9731-b0eb-c27241e3166d,2023-09,00078,AGENZIA DELLE ENTRATE,UIL PA ,Unione Italiana Lavoratori PA,86,3473.66,3375.79,97.87,FUNZIONI CENTRALI,CONSOLIDATO,,78
38a25176-c080-663a-e5b1-ac6b62a6e3a6,2023-09,00127,AGENZIA NAZIONALE POLITICHE ATTIVE LAVORO,CSE,Confederazione Sindacati Europei,130,6533.47,6456.94,76.53,FUNZIONI CENTRALI,CONSOLIDATO,,127
4e616a47-21b9-3d0e-9c6a-2f1b71d10d0e,2024-07,00279,AVVOCATURA GENERALE DELLO STATO,SNALS,Sindacato Nazionale Autonomo Lavoratori Scuola,801,4378.01,4376.0,2.01,FUNZIONI CENTRALI,CONSOLIDATO,,279
860c4953-7ba4-dc51-510a-b513309a96b6,2024-10,00145,MINISTERO DEL TURISMO,CGIL FP,Federazione Lavoratori Funzione Pubblica CGIL,224,2601.63,2574.91,26.72,FUNZIONI CENTRALI,CONSOLIDATO,,145
a3c8a466-abb3-8058-b349-06a93713b6c7,2024-01,00145,MINISTERO DEL TURISMO,USB PI,Unione Sindacale di Base,617,1952.71,1934.35,18.36,FUNZIONI CENTRALI,CONSOLIDATO,rettifica manuale,145
31d17792-b99f-da3f-5b73-85641238fbdc,2023-06,00034,MINISTERO DELLA GIUSTIZIA,CGS,Confederazione Generale Sindacale,404,13806.25,13736.15,70.1,FUNZIONI CENTRALI,CONSOLIDATO,,34
6c0b665b-6840-a65e-148b-bcd0042675c9,2023-12,00288,MINISTERO DEGLI AFFARI ESTERI,CONFSAL UNSA,Confederazione Sindacati Autonomi Lavoratori,24,7447.88,7309.16,138.72,FUNZIONI CENTRALI,CONSOLIDATO,,288
3599e7ed-58b9-72ba-9474-a615bcf1ee21,2024-01,00056,MINISTERO DELLA DIFESA,INTESA FP,Intesa Funzione Pubblica,595,26659.48,26621.12,38.36,SICUREZZA-DIFESA,CONSOLIDATO,,56
f0fb8ff4-067e-6b3a-c543-38ca1405f35a,2024-11,00162,ISTITUTO NAZIONALE DI ASTROFISICA,USB PI,Unione Sindacale di Base,275,749.89,732.27,17.62,ISTRUZIONE E RICERCA,CONSOLIDATO,,162
0ffcfa69-020a-3cde-9e03-a92855defc6e,2023-12,00091,ISTITUTO SUPERIORE DI SANITA',USB PI,Unione Sindacale di Base,881,5262.26,5164.12,98.14,SANITA',CONSOLIDATO,,91
1b7b94bc-7103-1d03-8ab5-f7ba30864d54,2023-12,00188,AGENZIA DEL DEMANIO,CGIL FP,Federazione Lavoratori Funzione Pubblica CGIL,512,2055.47,2022.49,32.98,FUNZIONI CENTRALI,CONSOLIDATO,,188
306b4ad2-1576-37c8-d42d-fc4851b36806,2024-09,00162,ISTITUTO NAZIONALE DI ASTROFISICA,INTESA FP,Intesa Funzione Pubblica,"296,0",2094.1,2078.19,15.91,ISTRUZIONE E RICERCA,CONSOLIDATO,,162
f2d20c1c-bd1d-f3a5-d746-24bc2dab2b8c,2023-08,00103,,SNALS,Sindacato Nazionale Autonomo Lavoratori Scuola,657,1564.24,1554.69,9.55,ISTRUZIONE E RICERCA,CONSOLIDATO,,103
25c6d342-6edd-b6a6-876c-8937c833b681,2023-05,00258,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,UIL PA,Unione Italiana Lavoratori PA,314,4918.21,4864.64,53.57,FUNZIONI CENTRALI,CONSOLIDATO,,258
afc25896-fcba-39bc-912f-03856a4d2feb,2024-03,00145,MINISTERO DEL TURISMO,CGS,Confederazione Generale Sindacale,727,11408.9,11114.35,294.55,FUNZIONI CENTRALI,CONSOLIDATO,,145
6e6d6337-fcda-1712-5812-a5d1db48be2a,2023-04,00091,ISTITUTO SUPERIORE DI SANITA',UIL PA,Unione Italiana Lavoratori PA,273,7072.86,6869.97,202.89,SANITA',CONSOLIDATO,,91
1413d561-63a0-c4e5-a595-f20019d2868c,2024-05,00288,MINISTERO DEGLI AFFARI ESTERI,UIL PA,Unione Italiana Lavoratori PA,183,8112.27,8082.68,29.59,FUNZIONI CENTRALI,CONSOLIDATO,,288
a062e62e-904d-525c-5eda-e7ff8a02166d,2024-08,00201,MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA,CGIL FP,Federazione Lavoratori Funzione Pubblica CGIL,176,1715.28,1709.56,5.72,FUNZIONI CENTRALI,CONSOLIDATO,,201
006cc523-f8ef-0d63-6c6e-23a3edd7d94b,2024-03,00145,MINISTERO DEL TURISMO,CISL FP,Federazione Pubblica CISL,617,338901,3302.74,86.27,FUNZIONI CENTRALI,CONSOLIDATO,,145
b83c67e9-ab36-6f44-c9c1-3216491798be,2024-09,00201,MINISTERO DELL'AMBIENTE E DELLA SICUREZZA ENERGETICA,ANIEF,Associazione Nazionale Insegnanti e Formatori,662,23628.45,22982.37,646.08,FUNZIONI CENTRALI,CONSOLIDATO,,201
51c32f48-aac7-44df-372e-02757b69fc34,2024-02,00127,AGENZIA NAZIONALE POLITICHE ATTIVE LAVORO,DIRSTAT,Federazione Dirigenti Statali,183,8109.15,7865.94,243.21,FUNZIONI CENTRALI,CONSOLIDATO,,127
79d7fcee-a03b-d672-0c8b-a9a2f8a71176,2023-02,00288,MINISTERO DEGLI AFFARI ESTERI,CGIL FP,Federazione Lavoratori Funzione Pubblica CGIL,799,328.29,319.45,8.84,FUNZIONI CENTRALI,CONSOLIDATO,,288
3bace166-fd6c-a4db-1c8a-8e9fd685c5e8,2023-01,ND,CORTE DEI CONTI,SNALS ,Sindacato Nazionale Autonomo Lavoratori Scuola,462,1223.08,1189.76,33.32,FUNZIONI CENTRALI,CONSOLIDATO,,266
799784b6-58d5-bcaf-77a9-c4f928d83363,2024-12,,--,CISL FP,Federazione Pubblica CISL,16,5635.95,5588.88,47.07,FUNZIONI CENTRALI,CONSOLIDATO,,266
97d63173-57c5-2abb-e26b-89c7b3f99ade,2024-04,00188,AGENZIA DEL DEMANIO,CGIL FP,Federazione Lavoratori Funzione Pubblica CGIL,630,899.09,883.58,15.51,FUNZIONI CENTRALI,CONSOLIDATO,,188
dd4b0629-a956-1bc0-b835-9e59f0ffc1cf,2024-04,00279,AVVOCATURA GENERALE DELLO STATO,CISL FP,Federazione Pubblica CISL,616,19572.76,19340.62,232.14,FUNZIONI CENTRALI,CONSOLIDATO,,279
c7c621f0-a163-a6f7-c193-65c6a30d982e,2023-03,00145,MINISTERO DEL TURISMO,CISL FP,Federazione Pubblica CISL,567,196.78,191.15,5.63,FUNZIONI CENTRALI,CONSOLIDATO,rettifica manuale,145
b07aa0d9-0347-4545-a1a8-592fee5cfcce,2024-12,00188,AGENZIA DEL DEMANIO,CSE,Confederazione Sindacati Europei,199,960.95,948.8,12.15,FUNZIONI CENTRALI,CONSOLIDATO,,188
c99ca7d3-9ee5-20bf-3916-17be5e96fcfb,2023-07,00056,MINISTERO DELLA DIFESA,ANIEF,Associazione Nazionale Insegnanti e Formatori,345,28920.83,28910.7,10.13,SICUREZZA-DIFESA,CONSOLIDATO,,56
1e179ac5-a814-9e98-c6ff-19ed59c5ea91,2024-02,00266,CORTE DEI CONTI,CGIL FP,Federazione Lavoratori Funzione Pubblica CGIL,266,10081.77,9870.1,211.67,FUNZIONI CENTRALI,CONSOLIDATO,,266
