rata,ente,descrizione,tipo_imposta,imposta,spesa
202405,Ministero dell'Economia,Indennita di funzione,ADD_COM,558.05,2484.79
202404,Ministero dell'Economia,Trattenuta sindacale,Inail,333.46,1162.42
202411,INPS,Rimborso spese,ADD_COM,659.92,
202205,Regione Lazio,Stipendio base,IRPEF,"560,17",2239.05
202200,Comune di Roma,Straordinario,INAIL,"1.485,54",3765.65
202506,Regione Lazio,Straordinario,ADD_COM,722.61,3388.25
10/2025,N.D.,Rimborso spese,INPS,"1.034,96",4016.0
202403,Ministero della Salute,Anticipo TFR,n.c.,1374.99,3726.78
2022-06,Comune di Roma,Buoni pasto,IRAP,962.14,4188.44
202502,INAIL,Buoni pasto,ADD_COM,"411,60",2132.63
202209,INPS,Straordinario,ADD_COM,"€ 930,74",4053.56
06/2023,Ministero della Salute,Premio produttivita,INPS,632.72,2605.95
202304,Regione Lazio,Stipendio base,INAIL,662.41,3570.97
03/24,INAIL,Indennita di funzione x,INPS,1470.02,3003.28
202599,INAIL,Indennita di funzione,IRAP,453.96,2027.84
202409,INPS,Straordinario,INPS,N.D.,2656.16
2023-12,Ministero della Salute,Trattenuta sindacale,ADD_COM,281.81,781.82
202406,Ministero della Salute,Anticipo TFR,IRPEF,308.89,1828.11
mag-2022,Ministero della Salute,Rimborso spese,IRES,"€ 925,05",3344.29
202310,Ministero della Salute,Trattenuta sindacale,n.c.,1138.97,3805.36
08/2024,Ministero della Salute,Indennita di funzione,irap,972.87,2603.43
202309,Comune di Roma,Rimborso spese,INPS,527.46,3160.05
202502,Regione Lazio,Straordinario,IRAP,136.45,740.13
202204,Comune di Milano,Anticipo TFR,INAIL,731.88,
mag-2022,Comune di Milano,Trattenuta sindacale,IRPEF,"€ 781,19",3330.23
202410,Ministero della Salute,Buoni pasto,n.c.,1167.44,3023.21
2025-06,Ministero della Salute,Anticipo TFR,INAIL,978.42,4758.18
202310,INAIL,Straordinario,IVA,1313.33,5169.71
202211,Regione Lazio,Trattenuta sindacale,INAIL,1185.33,2894.05
202505,Ministero della Salute,Buoni pasto,INAIL,580.52,2454.53
202311,,Straordinario,IRAP,N.D.,5454.91
202204,INPS,Stipendio base,IVA,"€ 1.133,57",3814.21
2024-03,INAIL,Straordinario,ADD_COM,"€ 1.437,48",
202309,non disponibile,Stipendio base,ADD_COM,"662,41",3829.28
202508,Agenzia delle Entrate,Rimborso spese,n.c.,990.01,2541.55
mag-2023,INAIL,Stipendio base,INAIL,619.36,2415.63
apr-2024,INPS,Straordinario,n.c.,1119.85,873474.4
202403,Ministero della Salute,Anticipo TFR,IRPEF,1372.39,4046.29
2022-10,INAIL,Buoni pasto,INAIL,1382.88,3747.15
202301,Comune di Milano,Rimborso spese,IRPEF,"277,78",681.27
202210,Comune di Milano,Rimborso spese,IRAP,345.94,788.68
202410,sconosciuto,Straordinario,INAIL,1144.65,4615.81
10/2025,INPS,Rimborso spese,ADD_REG,964.96,5179.99
202508,Ministero dell'Economia,Indennita di funzione,IVA,1362.41,3415.61
06/2023,Regione Lazio,Rimborso spese,add_reg,N.D.,2425.3
202309,INPS,Rimborso spese,n.c.,1279.63,4671.27
202404,Regione Lazio,Anticipo TFR,IVA,"1.041,47",2229.68
202410,Comune di Roma,Anticipo TFR,IRES,333.41,1381.61
202507,Ministero dell'Economia,Stipendio base,n.c.,"€ 233,42",702.14
202206,Regione Lazio,Straordinario,IRPEF,"€ 1.068,95",4725.85
202299,Agenzia delle Entrate,Buoni pasto,ADD_COM,"279,77",950.46
202307,Regione Lazio,Straordinario,IVA,1201.78,5607.28
202399,INAIL,Buoni pasto,ADD_REG,857.79,4867.11
202302,Regione Lazio,Premio produttivita,INAIL,741.46,2208.2
202503,Regione Lazio,Straordinario,Iva,449.52,2588.95
202202,Ministero dell'Economia,Anticipo TFR x,n.c.,"€ 1.476,58",4159.87
202506,Regione Lazio,Anticipo TFR,ADD_REG,1097.14,2504.53
202409,Ministero della Salute,Anticipo TFR,ADD_COM,"1.178,19",3264.53
2024-08,Agenzia delle Entrate,Stipendio base,IRPEF,"€ 1.164,63",6125.57
202406,Ministero della Salute,Straordinario,IVA,896.82,4224.22
202211,INAIL,Stipendio base,ADD_COM,"€ 1.412,56",8310.57
202407,Comune di Roma,Stipendio base,ADD_REG,"€ 896,54",4338.63
202201,Comune di Milano,Stipendio base,IVA,804.07,
10/2024,Ministero della Salute,Trattenuta sindacale,IRPEF,446.88,2489.0
202407,Ministero della Salute,Stipendio base,IRAP,-458.52,2674.32
2024-08,INAIL,Straordinario,INPS,1118.48,5778.76
2023-07,Comune di Roma,Anticipo TFR,INAIL,535.41,2262.94
feb-2023,Regione Lazio,Anticipo TFR,ADD_COM,"€ 1.106,63",5868.53
202313,INAIL,Anticipo TFR,IRPEF,"1.431,42",3887.99
202299,Regione Lazio,Stipendio base,IVA,687.00,3848.16
202410,Ministero dell'Economia,Rimborso spese,IRAP,191.12,1146.38
202213,Comune di Roma,Rimborso spese,ADD_COM,1016.49,4737.41
202308,non disponibile,Indennita di funzione,IRES,63.81,177.62
202401,Comune di Roma,Anticipo TFR,IRES,"€ 1.191,16",3070.51
202205,Ministero della Salute,Trattenuta sindacale,IRAP,812.20,4741.35
202506,Regione Lazio,Anticipo TFR,IRPEF,760.11,4169.52
202312,Comune di Milano,Stipendio base,n.c.,"875,69",4373.82
202203,non disponibile,Rimborso spese,INPS,798.79,4630.17
202404,Comune di Milano,Indennita di funzione,INPS,"519,48",2084.99
202405,Comune di Roma,Anticipo TFR,ADD_COM,458.19,2543.41
202412,Ministero della Salute,Buoni pasto,IVA,652.18,1729.11
202511,Comune di Milano,Stipendio base,IRAP,1347.62,3680.67
202301,INAIL,Indennita di funzione,IVA,246.29,997.32
202503,Regione Lazio,Straordinario,ADD_REG,520.91,1734.65
202310,Regione Lazio,Stipendio base,n.c.,"328,84",1226.6
202401,INAIL,Stipendio base,IRES,669.35,3475.79
202211,,Anticipo TFR,INAIL,243.57,539.17
202404,Ministero della Salute,Anticipo TFR,INAIL,"€ 1.153,15",5631.26
202312,Comune di Milano,Buoni pasto,IRES,200.03,470.65
202404,Comune di Milano,Anticipo TFR,INPS,1014.63,5468.86
202506,Comune di Milano,Rimborso spese,INPS,438.18,1230.23
202508,Ministero della Salute,Stipendio base,IRES,734.68,3629.14
202502,Ministero dell'Economia,Rimborso spese,IRPEF,339.98,1484.87
202207,Comune di Roma,Stipendio base,INAIL,1108.82,3927.98
jan-2022,N.D.,Premio produttivita,INPS,"1.425,00",4374.96
202510,Agenzia delle Entrate,Straordinario,INAIL,371.53,828.45
202312,INPS,Indennita di funzione,IVA,"€ 1.432,07",4888.4
2022-08,non disponibile,Straordinario,INPS,"€ 521,65",1461.72
202305,Comune di Milano,Rimborso spese,ADD_COM,858.88,2184.69
202505,,Premio produttivita,IRES,1067.31,5287.45
202306,Comune di Milano,Buoni pasto,INAIL,338.94,966.0
202210,Comune di Milano,Indennita di funzione,IRES,"€ 694,91",2010.12
202404,Comune di Roma,Anticipo TFR,IRPEF,148.35,498.74
Rata 2022,Ministero dell'Economia,Premio produttivita,ADD_COM,-1060.73,4084.46
202305,INPS,Trattenuta sindacale,IRES,"€ 654,09",2652.24
202201,INAIL,Buoni pasto,INAIL,1342.88,6255.38
202402,Ministero dell'Economia,Anticipo TFR x,INPS,"447,29",1947.54
202302,Comune di Milano,Trattenuta sindacale,ADD_REG,1389.22,5455.1
202510,Regione Lazio,Stipendio base,INPS,254.51,910.07
202309,INPS,Indennita di funzione,INAIL,930.10,2849.03
2022-09,INAIL,Buoni pasto,add_com,496.32,
06/23,Comune di Milano,Anticipo TFR,ADD_REG,313.58,
mar-2022,Agenzia delle Entrate,Rimborso spese x,INAIL,-186.21,1005.22
02/24,INAIL,Buoni pasto,IRES,1000.68,4347.6
Rata 2022,sconosciuto,Straordinario,IRES,"388,09",1760.29
202307,Comune di Roma,Trattenuta sindacale,IVA,"880,58",3553.28
202512,INPS,Stipendio base,INAIL,1470.16,8400.82
2025-02,Comune di Milano,Straordinario,INAIL,"508,14",1873.2
202406,Ministero dell'Economia,Buoni pasto,ADD_REG,"100,67",373.27
202509,INPS,Anticipo TFR,IRPEF,"€ 257,09",1432.52
202506,INPS,Anticipo TFR,IRES,223.02,985.67
Rata 2024,Comune di Roma,Premio produttivita,IRES,721.76,2740.23
02/23,Comune di Milano,Stipendio base,INPS,1129.74,3444.13
202205,Comune di Roma,Premio produttivita x,Inail,479.84,1430.01
202503,Ministero dell'Economia,Indennita di funzione,IRPEF,261.47,1361.14
202304,INAIL,Buoni pasto,ADD_REG,979.11,3052.73
202409,Ministero dell'Economia,Anticipo TFR,IRAP,486.71,984.59
apr-2025,Regione Lazio,Anticipo TFR,INAIL,884.00,1836.81
giu-2023,N.D.,Rimborso spese,ADD_REG,1403.99,8302.65
202205,Agenzia delle Entrate,Straordinario,n.c.,472.45,2002.88
202312,INAIL,Buoni pasto,ADD_REG,793.11,3137.62
2023-02,non disponibile,Rimborso spese,ADD_COM,1219.88,6918.55
202505,Regione Lazio,Buoni pasto,n.c.,"€ 1.052,99",3587.27
202502,INPS,Trattenuta sindacale,IRES,1139.64,5903.32
202405,INAIL,Trattenuta sindacale,IVA,"€ 1.170,23",
202512,INPS,Buoni pasto,IRES,"€ 832,88",3255.22
202305,Ministero della Salute,Stipendio base,IVA,827.29,4217.96
202311,Regione Lazio,Anticipo TFR,n.c.,1092.39,6404.81
202506,INPS,Stipendio base,Add_Reg,1061.59,2975.03
202409,Comune di Roma,Anticipo TFR,ADD_REG,1021.58,2114.71
202406,Agenzia delle Entrate,Stipendio base,IVA,604.10,3193.16
202304,Ministero dell'Economia,Buoni pasto,ADD_COM,1251.39,4522.96
202410,INAIL,Trattenuta sindacale,ADD_COM,392.49,1639.67
12/23,Regione Lazio,Buoni pasto,ADD_REG,275.81,
2023-04,Agenzia delle Entrate,Trattenuta sindacale,ADD_REG,550.49,2954.57
202210,INPS,Anticipo TFR,INAIL,418.06,2042.15
04/2022,Ministero della Salute,Stipendio base,IRPEF,1011.61,5880.96
202209,Comune di Milano,Anticipo TFR,IRAP,384.98,1501.81
feb-2023,INPS,Rimborso spese,ADD_REG,1001.91,5917.54
202406,Ministero della Salute,Premio produttivita,IRAP,794.17,3211.16
202513,INPS,Indennita di funzione,IRES,271.05,1215.85
04/25,Comune di Roma,Stipendio base,n.c.,424.67,1994.47
202501,Regione Lazio,Trattenuta sindacale,IVA,806.50,3193.0
202402,Regione Lazio,Straordinario,Add_Reg,1113.00,4731.5
202206,Agenzia delle Entrate,Premio produttivita,IRAP,627.46,1815.39
202311,INPS,Anticipo TFR,IRAP,387.61,1337.04
202302,Comune di Roma,Trattenuta sindacale,IRAP,477.86,2297.54
202506,Ministero della Salute,Premio produttivita,IRAP,"€ 187,92",405.15
202509,Comune di Milano,Stipendio base,IVA,86.47,415.2
2025-03,Regione Lazio,Rimborso spese,IRAP,1461.04,4697.39
202409,INPS,Stipendio base,ADD_REG,189.79,585.95
202304,INPS,Rimborso spese,IRAP,"231,09",
202310,Comune di Roma,Trattenuta sindacale,IVA,1312.90,3754.61
202507,INAIL,Trattenuta sindacale,ADD_REG,1012.08,5917.36
202207,Ministero dell'Economia,Straordinario x,IVA,682.31,4068.42
202303,Ministero dell'Economia,Trattenuta sindacale,IRPEF,991.08,3798.22
202206,Ministero dell'Economia,Premio produttivita,IRPEF,1405.73,5068.6
11/23,INAIL,Premio produttivita,iva,194.10,449.56
202301,Ministero della Salute,Straordinario,INAIL,"403,38",2062.43
2022-10,Regione Lazio,Straordinario,ADD_COM,"1.297,44",3439.38
2023-06,INPS,Buoni pasto,IRES,1181.93,6775.05
202509,INPS,Rimborso spese,INPS,"€ 1.491,67",8893.89
202408,INAIL,Indennita di funzione,IRAP,505.17,1257.69
202506,Ministero dell'Economia,Rimborso spese,IVA,1420.09,6719.9
202504,sconosciuto,Anticipo TFR,n.c.,"548,35",
202508,Regione Lazio,Premio produttivita,n.c.,1086.89,4526.44
2023-02,N.D.,Buoni pasto,IRPEF,1329.98,3615.28
202508,Regione Lazio,Straordinario,IRPEF,297.63,1456.63
02/23,Regione Lazio,Straordinario,INPS,348.18,928.4
202508,Comune di Roma,Rimborso spese,IRES,892.39,4944.91
08/2023,Ministero dell'Economia,Trattenuta sindacale,IRAP,"1.273,55",4859.74
2022-02,Comune di Milano,Stipendio base,Irpef,"164,48",
202410,Comune di Roma,Rimborso spese,irpef,1283.78,7301.07
202505,Regione Lazio,Indennita di funzione,IRES,547.52,2711.19
giu-2025,INPS,Anticipo TFR,IVA,639.03,2660.53
202401,Regione Lazio,Trattenuta sindacale,IRES,"€ 542,80",1959.89
202200,Regione Lazio,Straordinario,IRES,1371.65,
06/23,Ministero dell'Economia,Stipendio base,n.c.,"€ 239,65",806.83
202403,Agenzia delle Entrate,Indennita di funzione,IRAP,882.70,5106.19
202404,N/A,Anticipo TFR,IRPEF,264.76,797.31
202308,Ministero dell'Economia,Buoni pasto x,IRPEF,1396.46,5079.46
02/2023,Ministero della Salute,Anticipo TFR,ADD_COM,-1207.00,6171.27
202209,INPS,Anticipo TFR,INAIL,"389,04",1345.05
Rata 2023,INAIL,Stipendio base,IRPEF,481.78,2672.17
202403,non disponibile,Trattenuta sindacale,IRAP,603.20,1792.89
202208,INAIL,Premio produttivita,iva,"637,86",1355.69
202510,Ministero della Salute,Trattenuta sindacale,Add_Com,1235.15,5576.71
202203,Comune di Roma,Buoni pasto,n.c.,868.57,3502.95
202404,INAIL,Buoni pasto,ADD_REG,N.D.,3843.63
202312,Ministero della Salute,Rimborso spese,IRPEF,1093.19,4036.64
202513,Agenzia delle Entrate,Anticipo TFR,n.c.,"713,90",1814.99
2025-07,Ministero della Salute,Anticipo TFR,IVA,235.95,783.11
202406,Comune di Roma,Rimborso spese,INAIL,"205,86",735.51
05/24,Comune di Milano,Buoni pasto,ADD_REG,522.64,2264.35
202408,Comune di Roma,Straordinario,IRAP,924.16,2863.05
202408,INPS,Stipendio base,n.c.,245.52,1031.49
202204,INAIL,Rimborso spese,IRAP,847.69,4774.35
202301,Regione Lazio,Stipendio base,n.c.,440.93,1629.2
2022-02,Regione Lazio,Rimborso spese,IRAP,1058.35,4875.05
Rata 2023,Ministero dell'Economia,Trattenuta sindacale,INAIL,90.98,265.26
202406,non disponibile,Premio produttivita,IVA,N.D.,3800.29
mag-2022,Ministero dell'Economia,Anticipo TFR,INAIL,125.78,387.24
202206,INPS,Buoni pasto,INAIL,"€ 529,24",2285.9
202510,Ministero della Salute,Buoni pasto,IRAP,72.58,232.33
202301,Comune di Roma,Trattenuta sindacale,ADD_COM,730.19,1657.25
202201,INPS,Straordinario,IRPEF,1162.17,3810.35
202404,Agenzia delle Entrate,Stipendio base,ADD_COM,195.32,556.3
202499,Regione Lazio,Stipendio base,IRPEF,1116.07,6217.29
202509,Ministero dell'Economia,Rimborso spese,IVA,"897,08",2749.23
202506,Regione Lazio,Anticipo TFR,ADD_REG,"€ 781,68",4610.11
202506,Regione Lazio,Stipendio base,INAIL,919.25,3648.86
2024-12,n.a.,Straordinario,IRAP,"537,05",1548.99
02/2023,Agenzia delle Entrate,Buoni pasto,n.c.,"€ 1.079,99",3850.57
202507,INAIL,Rimborso spese x,IRES,1180.52,3227.22
202307,N.D.,Rimborso spese,INAIL,1178.42,6286.56
06/23,Comune di Roma,Rimborso spese,inps,440.72,1092.93
10/2025,Comune di Roma,Stipendio base,IRES,998.17,5484.06
202504,INPS,Straordinario,ADD_COM,264.74,578.1
202312,Ministero dell'Economia,Trattenuta sindacale,ADD_REG,N.D.,2457.55
2024-04,INAIL,Stipendio base,IRPEF,53.81,137.73
202507,INPS,Straordinario,IRPEF,330.70,1567.87
202507,Comune di Milano,Trattenuta sindacale,IRPEF,966.01,3911.65
202211,Regione Lazio,Anticipo TFR,Iva,1317.82,7587.16
202406,INAIL,Straordinario x,IVA,121.09,419.54
202200,INPS,Anticipo TFR,INAIL,"859,90",1859.96
202501,Comune di Roma,Rimborso spese,INAIL,973.32,4911.99
202205,Ministero dell'Economia,Rimborso spese,IRPEF,-1401.97,
202510,Agenzia delle Entrate,Premio produttivita,IVA,999.96,5309.53
202201,Ministero della Salute,Premio produttivita,ADD_REG,"199,40",
jan-2023,Ministero dell'Economia,Indennita di funzione,ADD_COM,"€ 262,78",1301.48
202207,  ,Trattenuta sindacale,IRAP,971.86,2608.73
202502,Comune di Milano,Buoni pasto,IRPEF,362.65,2175.21
202304,Agenzia delle Entrate,Anticipo TFR,IRES,1396.04,3761.75
202407,Ministero della Salute,Stipendio base,Irap,"€ 1.385,00",7367.1
202204,Ministero dell'Economia,Trattenuta sindacale,IVA,1425.55,4062.46
02/24,Ministero dell'Economia,Indennita di funzione,IRAP,"€ 474,78",2435.64
202500,Comune di Roma,Indennita di funzione,IRPEF,"€ 1.089,58",5932.77
202513,Ministero dell'Economia,Premio produttivita,IRAP,1011.37,5569.17
02/24,Comune di Milano,Indennita di funzione,IRAP,N.D.,396.65
202304,Comune di Roma,Premio produttivita,iva,435.07,1616.39
202303,Regione Lazio,Anticipo TFR,IRPEF,"€ 349,81",1866.29
202408,Regione Lazio,Premio produttivita,Add_Reg,"€ 587,67",2537.53
202409,Comune di Roma,Indennita di funzione,IVA,1431.93,6422.36
202209,Comune di Milano,Indennita di funzione x,n.c.,N.D.,3757.24
202512,Ministero dell'Economia,Trattenuta sindacale,ADD_COM,475.47,1799.48
202210,Comune di Roma,Buoni pasto,INAIL,818.55,2846.75
202304,INAIL,Premio produttivita,n.c.,"€ 328,79",1532.58
202513,INAIL,Trattenuta sindacale,IRES,452.28,1260.02
202408,Comune di Milano,Indennita di funzione,IRPEF,144.25,522.62
202311,INAIL,Anticipo TFR,INPS,981.78,5296.63
202512,Regione Lazio,Anticipo TFR,IRAP,"€ 1.002,54",4196.41
202303,Ministero della Salute,Rimborso spese,IVA,1265.83,7068.62
03/2024,INPS,Rimborso spese,INPS,1313.75,3849.43
202201,  ,Anticipo TFR,INPS,282.09,1060.55
202202,Regione Lazio,Trattenuta sindacale,IRPEF,1127.41,4511.52
202307,Agenzia delle Entrate,Indennita di funzione,IRPEF,245.33,883.74
2024-07,Comune di Roma,Buoni pasto,ADD_REG,591.89,2804.36
202505,Agenzia delle Entrate,Trattenuta sindacale,ADD_COM,797.53,2069.49
202304,Regione Lazio,Premio produttivita,ADD_REG,121.73,496.37
202510,Comune di Roma,Premio produttivita,ADD_COM,277.31,708.55
202406,Comune di Roma,Trattenuta sindacale,IVA,443.12,2001.48
202210,Agenzia delle Entrate,Straordinario,ADD_REG,"234,94",1250.11
2024-12,Ministero della Salute,Trattenuta sindacale,ADD_COM,1404.44,2921.22
jun-2024,Ministero dell'Economia,Rimborso spese,ADD_COM,468.06,1791.61
202303,INAIL,Rimborso spese,IRES,776.70,3084.13
12/23,Comune di Roma,Buoni pasto,IRES,1494.97,7296.97
202308,Agenzia delle Entrate,Buoni pasto,IVA,871.63,2003.77
202404,N.D.,Anticipo TFR,INPS,N.D.,2343.59
202408,INPS,Straordinario,ADD_COM,1398.20,7189.44
Rata 2023,Agenzia delle Entrate,Indennita di funzione,IRAP,372.62,1538.39
202311,sconosciuto,Premio produttivita,ADD_REG,"310,28",183596.7
202304,non disponibile,Anticipo TFR,ADD_COM,826.28,2855.66
202312,INAIL,Buoni pasto,ADD_COM,"€ 669,59",3803.51
202312,Ministero dell'Economia,Trattenuta sindacale,IRES,1205.63,2784.26
jan-2023,N.D.,Straordinario,IRES,110.91,262.26
202402,Ministero della Salute,Trattenuta sindacale x,IRES,945.70,3890.56
2022-07,INAIL,Stipendio base,INAIL,1080.48,4195.82
202401,Ministero dell'Economia,Buoni pasto,INAIL,"1.459,28",6645.37
lug-2022,Ministero della Salute,Straordinario,IVA,261.36,762.18
202306,non disponibile,Straordinario,IRPEF,407.05,1182.12
lug-2025,Regione Lazio,Buoni pasto,INPS,"1.402,04",7005.21
12/25,Ministero dell'Economia,Anticipo TFR,n.c.,964.41,3054.35
202402,Ministero dell'Economia,Indennita di funzione,IVA,105.17,516.3
202411,Regione Lazio,Anticipo TFR,IRAP,162.15,
202202,INAIL,Buoni pasto,INPS,1188.89,2774.05
2023-09,Regione Lazio,Anticipo TFR,INAIL,872.84,4228.49
202411,Comune di Milano,Trattenuta sindacale,Inps,869.85,4799.89
2025-11,Agenzia delle Entrate,Anticipo TFR,ADD_REG,-1325.81,6982.49
202403,Regione Lazio,Rimborso spese,IRAP,399.59,813.34
202511,Comune di Milano,Rimborso spese,INPS,282.62,1175.38
202302,Regione Lazio,Buoni pasto,ADD_REG,"940,02",5314.26
2022-07,Ministero dell'Economia,Trattenuta sindacale x,IRES,1329.51,5843.07
202206,Ministero della Salute,Buoni pasto,IRAP,"434,61",1373.93
feb-2024,Agenzia delle Entrate,Premio produttivita,IRPEF,1037.88,2883.42
01/2024,Comune di Roma,Premio produttivita,IRAP,270.95,1284.25
202310,Ministero dell'Economia,Stipendio base,IRPEF,299.27,1521.79
202505,Ministero dell'Economia,Rimborso spese,INAIL,-1357.19,7668.58
202408,INPS,Premio produttivita,IRPEF,221.05,1242.93
202305,Comune di Roma,Rimborso spese,n.c.,85.30,286.36
202205,Ministero dell'Economia,Trattenuta sindacale,INPS,1173.66,5182.3
202411,non disponibile,Straordinario,ADD_COM,575.64,1385.03
202402,Regione Lazio,Rimborso spese,IRAP,625.15,1486.51
202209,Comune di Milano,Rimborso spese,ZZZ_RARE,1209.79,
09/2023,INAIL,Straordinario,IRES,310.91,1774.85
202305,sconosciuto,Trattenuta sindacale,INPS,992.97,2591.38
202404,Regione Lazio,Straordinario x,n.c.,"504,62",1982.81
202201,Agenzia delle Entrate,Stipendio base,IRPEF,201.19,750.9
2025-12,Regione Lazio,Stipendio base,ADD_COM,1046.87,3453.71
202312,Ministero della Salute,Stipendio base,n.c.,512.06,2125.52
202303,Agenzia delle Entrate,Trattenuta sindacale,IRPEF,1306.58,2627.75
202201,,Buoni pasto,Inps,1382.60,4867.58
may-2025,Ministero dell'Economia,Trattenuta sindacale,IRAP,1281.13,5018.67
202201,Ministero della Salute,Anticipo TFR,IRES,517.41,2697.37
2025-10,Agenzia delle Entrate,Indennita di funzione,IVA,393.04,
202311,Ministero dell'Economia,Trattenuta sindacale,ADD_REG,1344.56,7259.34
202502,INAIL,Indennita di funzione,IRPEF,706.77,2477.37
202209,Ministero dell'Economia,Straordinario,IRAP,1076.22,2759.02
202203,INAIL,Buoni pasto,ADD_COM,1249.39,4503.08
202505,Agenzia delle Entrate,Straordinario,IVA,452.65,2649.02
202500,Comune di Milano,Straordinario,IRPEF,222.69,636.29
202409,Comune di Roma,Rimborso spese,IVA,956.00,2580.26
202211,Comune di Roma,Premio produttivita,INAIL,905.78,5233.01
202501,,Indennita di funzione,ADD_COM,441.79,
202303,INPS,Stipendio base,INAIL,897.82,2331.59
2025-04,Ministero della Salute,Indennita di funzione,IRPEF,1196.02,6073.16
202504,Regione Lazio,Buoni pasto,ADD_REG,557.52,2073.4
12/2025,INAIL,Anticipo TFR,add_reg,401.36,1592.94
202410,Comune di Roma,Indennita di funzione,INAIL,1101.25,4399.22
202404,Agenzia delle Entrate,Stipendio base,ADD_COM,1189.51,6986.57
202412,Ministero della Salute,Buoni pasto x,ADD_REG,1433.72,3926.45
06/2022,INPS,Anticipo TFR,IRES,"264,00",1344.36
