rata,ente,descrizione,tipo_imposta,imposta,spesa
2023-03,Comune di Roma,Premio produttivita,IRAP,865.87,3891.38
202505,,Buoni pasto,IRAP,1145.53,241031.74
2023-06,INAIL,Buoni pasto,ADD_COM,423.26,2020.71
202506,Ministero dell'Economia,Trattenuta sindacale,INAIL,1248.85,5868.35
2024-01,INAIL,Indennita di funzione,IRAP,"€ 1.394,88",6598.27
202407,Comune di Milano,Anticipo TFR,INAIL,-916.22,2103.9
202502,INPS,Premio produttivita,Inail,1019.97,
Rata 2025,Comune di Milano,Anticipo TFR,IVA,126.24,459.03
202509,Comune di Roma,Premio produttivita,IVA,"€ 1.421,00",3334.87
202412,INPS,Straordinario,ADD_COM,619.10,1788.87
ago-2022,Agenzia delle Entrate,Straordinario,Inps,1389.66,5230.47
202305,Ministero della Salute,Indennita di funzione,IRES,"€ 889,52",4422.36
202212,Agenzia delle Entrate,Anticipo TFR,INAIL,56.70,167.17
05/25,INPS,Buoni pasto,INPS,105.89,563.23
202204,Comune di Milano,Trattenuta sindacale,INPS,1036.61,
202211,INAIL,Anticipo TFR,INAIL,-865.87,4365.45
202205,N.D.,Buoni pasto,Add_Com,88.47,344.17
202401,Comune di Roma,Anticipo TFR,IRAP,1128.02,
202406,Ministero dell'Economia,Anticipo TFR,IVA,1285.61,5758.09
202510,Agenzia delle Entrate,Stipendio base,IRES,769.81,4397.06
202303,Ministero della Salute,Straordinario x,INAIL,725.35,2877.65
Rata 2023,INPS,Rimborso spese,IVA,57.94,238.4
202202,Regione Lazio,Premio produttivita,IRAP,1190.64,5248.33
202209,Comune di Milano,Indennita di funzione,INAIL,529.54,2621.26
202306,Ministero della Salute,Straordinario,IVA,"1.324,21",3029.0
202504,Agenzia delle Entrate,Buoni pasto,IVA,"€ 590,94",2400.84
03/2024,Ministero della Salute,Premio produttivita,IVA,869.36,3413.43
202507,Comune di Milano,Stipendio base,IRAP,442.00,2513.54
09/2022,INPS,Buoni pasto,IRES,282.85,1124.05
2022-12,INAIL,Straordinario,ADD_REG,1173.62,
202506,INAIL,Indennita di funzione,IRPEF,770.06,4503.93
202202,INAIL,Buoni pasto,IRAP,827.91,3147.97
10/2022,Regione Lazio,Trattenuta sindacale,INAIL,"1.449,85",3948.72
08/2023,Ministero della Salute,Rimborso spese,IRES,1447.19,4150.06
202509,INPS,Straordinario,INAIL,1290.68,3072.79
202402,INPS,Premio produttivita,INAIL,322.03,644.79
202204,INAIL,Stipendio base,INAIL,911.70,3398.62
202510,Agenzia delle Entrate,Premio produttivita x,IRAP,1323.31,6718.41
202510,Ministero della Salute,Stipendio base,IRPEF,592.97,2925.63
202506,Regione Lazio,Rimborso spese,ADD_COM,196.60,418.48
10/2025,Comune di Milano,Straordinario,IRAP,"1.225,90",5246.77
202211,INPS,Trattenuta sindacale,Add_Reg,748.56,1959.08
202505,Comune di Milano,Stipendio base,IRES,"€ 868,37",5005.55
202311,Comune di Roma,Rimborso spese,IRES,N.D.,3935.08
202504,Ministero dell'Economia,Indennita di funzione,ADD_REG,"€ 930,46",4193.17
2024-03,INPS,Rimborso spese,Add_Com,666.22,2201.83
202509,INPS,Rimborso spese,ADD_REG,586.48,2678.01
202408,Ministero dell'Economia,Premio produttivita,ADD_REG,655.55,2392.12
202402,Comune di Milano,Rimborso spese,IRES,221.68,1116.95
mag-2024,Comune di Milano,Straordinario,ADD_COM,1202.39,3514.25
03/23,Comune di Milano,Rimborso spese,INAIL,1264.69,7111.56
202410,INAIL,Premio produttivita,n.c.,462.38,1849.91
202201,Ministero della Salute,Straordinario,IRES,490.51,2464.5
202510,Comune di Roma,Stipendio base,ADD_REG,1317.78,7114.59
202410,Ministero della Salute,Anticipo TFR,IRAP,-84.76,508.16
202310,Ministero della Salute,Indennita di funzione,ADD_REG,804.66,2330.12
2024-08,INAIL,Buoni pasto,IRES,722.33,2273.58
06/2025,INAIL,Indennita di funzione,IRAP,1050.68,3153.86
202509,Ministero dell'Economia,Indennita di funzione,IRAP,286.92,875.53
202504,Agenzia delle Entrate,Premio produttivita,IRAP,1019.08,4412.39
202310,Ministero della Salute,Indennita di funzione,INAIL,596.26,3562.11
202507,Ministero della Salute,Rimborso spese,ADD_COM,947.14,5646.01
202306,Comune di Roma,Rimborso spese,ADD_COM,-108.14,444.14
202407,Ministero della Salute,Stipendio base,INAIL,719.50,3278.12
2024-07,Comune di Milano,Indennita di funzione,Ires,"807,26",
202201,INAIL,Premio produttivita,ADD_COM,360.77,2067.84
202302,Regione Lazio,Buoni pasto,INPS,252.45,710.76
202203,Agenzia delle Entrate,Stipendio base,INPS,323.29,1330.07
202202,Comune di Milano,Anticipo TFR,n.c.,549.00,2926.91
202313,Ministero dell'Economia,Straordinario,Add_Reg,190.37,611.62
202309,Ministero dell'Economia,Stipendio base,ADD_COM,1423.61,5351.69
202208,Comune di Roma,Anticipo TFR,INPS,637.24,3786.79
202306,Ministero della Salute,Stipendio base x,INPS,1223.01,7264.91
11/2024,INPS,Buoni pasto x,INAIL,1462.90,8227.97
202207,INPS,Anticipo TFR,IRAP,167.07,867.73
202301,INPS,Buoni pasto,IRAP,994.92,3060.89
202310,Agenzia delle Entrate,Buoni pasto,INAIL,1313.54,4312.88
202407,Regione Lazio,Trattenuta sindacale,IRPEF,"969,64",4061.95
202308,Agenzia delle Entrate,Indennita di funzione,IRAP,672.09,2851.75
202407,Comune di Milano,Buoni pasto,INAIL,"675,06",2715.1
mag-2023,Agenzia delle Entrate,Anticipo TFR,Add_Com,102.05,463.99
2023-02,INPS,Stipendio base,INPS,825.17,2998.08
07/24,INPS,Anticipo TFR,IVA,1490.64,7448.28
202210,Regione Lazio,Trattenuta sindacale,n.c.,1440.13,4801.68
giu-2024,Ministero dell'Economia,Buoni pasto,INAIL,"€ 108,58",360.78
202208,Agenzia delle Entrate,Indennita di funzione,INPS,1073.41,2693.08
202301,,Buoni pasto,IRPEF,"487,56",1343.15
mar-2025,Agenzia delle Entrate,Indennita di funzione,INPS,"€ 1.359,33",7343.21
202506,Regione Lazio,Straordinario,IVA,-115.42,
12/2024,INAIL,Rimborso spese,INAIL,"€ 1.407,02",4096.5
202503,Comune di Roma,Stipendio base,Add_Com,1264.34,6368.94
202504,n.a.,Trattenuta sindacale,ADD_COM,220.38,929.11
202305,INPS,Buoni pasto,INPS,136.75,285.07
feb-2025,Comune di Roma,Indennita di funzione,IRAP,"€ 1.260,33",4115.54
jun-2023,Comune di Milano,Straordinario,IVA,"275,85",747.0
202301,Regione Lazio,Straordinario,IRES,825.60,3817.15
202403,INPS,Rimborso spese,Add_Com,"€ 1.377,83",4271.44
202510,N/A,Anticipo TFR,ADD_REG,872.80,1972.34
202501,INPS,Premio produttivita,ADD_REG,N.D.,1389.54
lug-2023,Comune di Roma,Indennita di funzione x,IRAP,695.27,3008.37
04/2024,Regione Lazio,Stipendio base,IRAP,141.52,295.34
Rata 2022,Comune di Milano,Stipendio base,ADD_REG,1454.69,7848.3
202504,INAIL,Buoni pasto,INPS,"€ 500,45",1311.97
06/24,Comune di Roma,Indennita di funzione,inail,"324,58",1436.68
202408,Regione Lazio,Indennita di funzione,IVA,464.77,1756.25
02/25,Ministero dell'Economia,Premio produttivita,IVA,"€ 1.448,34",5462.28
202407,INPS,Premio produttivita,INAIL,186.71,427.04
202207,Comune di Milano,Premio produttivita,ADD_REG,1307.59,6813.86
2023-10,Comune di Roma,Straordinario,IRAP,1076.37,5997.76
202212,Regione Lazio,Buoni pasto,Add_Reg,1253.53,2562.3
202408,Comune di Milano,Buoni pasto,IRES,1465.05,3976.76
202205,INPS,Indennita di funzione,IVA,1271.12,7138.12
202205,Regione Lazio,Buoni pasto,ADD_COM,1417.90,
ago-2024,Regione Lazio,Buoni pasto,ADD_COM,234.06,608.59
202410,Ministero dell'Economia,Trattenuta sindacale,ADD_COM,-1203.89,3384.33
2024-04,Ministero dell'Economia,Premio produttivita,IRAP,841.23,3903.26
202503,Comune di Milano,Rimborso spese,ADD_REG,838.07,4105.93
feb-2025,INAIL,Buoni pasto,ADD_COM,N.D.,5952.03
202201,INAIL,Rimborso spese,ADD_COM,1459.12,8481.27
202502,Agenzia delle Entrate,Premio produttivita,IRPEF,1072.02,4262.62
2024-02,Agenzia delle Entrate,Buoni pasto,Inail,"€ 750,26",2401.65
202410,Comune di Milano,Straordinario,ADD_COM,711.79,2782.34
202209,Ministero della Salute,Premio produttivita,ADD_REG,610.20,2098.27
lug-2024,Ministero dell'Economia,Rimborso spese,n.c.,"574,32",1664.19
202406,Comune di Roma,Anticipo TFR,ADD_REG,"€ 617,68",1348.92
feb-2024,Comune di Roma,Indennita di funzione,IRPEF,"180,14",
202202,Ministero della Salute,Trattenuta sindacale,IVA,162.28,786.35
202499,Comune di Roma,Anticipo TFR x,INAIL,"€ 1.180,81",2448.71
202507,Ministero dell'Economia,Buoni pasto,n.c.,"696,81",2617.72
12/2024,Regione Lazio,Anticipo TFR,Inail,"€ 1.399,49",6404.12
202202,INAIL,Stipendio base,IRES,"937,72",4164.99
202506,Agenzia delle Entrate,Stipendio base x,INPS,101.01,515.82
09/24,Comune di Milano,Premio produttivita,INAIL,-278.41,1459.45
06/2022,Comune di Milano,Straordinario,n.c.,348.44,1688.83
2025-06,Comune di Roma,Buoni pasto,IRAP,1464.82,3531.96
202302,Ministero della Salute,Trattenuta sindacale,IRAP,367.12,1431.8
202405,sconosciuto,Trattenuta sindacale,IRAP,"€ 797,85",3521.41
202303,Regione Lazio,Anticipo TFR,n.c.,1407.46,4197.42
202504,Ministero dell'Economia,Stipendio base,INPS,1466.93,3183.54
202509,Comune di Milano,Premio produttivita,n.c.,"392,72",1136.67
2025-08,Comune di Roma,Anticipo TFR,IVA,121.22,463.01
Rata 2025,Ministero della Salute,Rimborso spese,IRAP,272.72,996.99
05/2025,Agenzia delle Entrate,Trattenuta sindacale,IRES,141.83,383.89
202212,Regione Lazio,Indennita di funzione,INAIL,332.93,
202302,Agenzia delle Entrate,Rimborso spese,ZZZ_RARE,874.43,4986.65
202405,Agenzia delle Entrate,Trattenuta sindacale,IRAP,1373.05,3851.95
2024-02,INAIL,Indennita di funzione,ADD_REG,828.97,4740.29
05/25,INPS,Straordinario,INPS,957.68,1983.78
202212,Regione Lazio,Anticipo TFR,IRES,342.71,1953.4
202405,non disponibile,Straordinario,IRAP,1210.85,7032.27
202411,Comune di Milano,Indennita di funzione,IRPEF,945.79,1937.17
202206,INAIL,Rimborso spese,IRPEF,1303.00,6582.86
202209,INPS,Indennita di funzione,n.c.,N.D.,8384.97
202206,Agenzia delle Entrate,Anticipo TFR,IVA,554.46,3118.07
202404,INAIL,Premio produttivita,ADD_REG,181.34,1066.79
202210,Regione Lazio,Anticipo TFR,IRES,"€ 377,60",1586.41
202412,Agenzia delle Entrate,Anticipo TFR,ADD_REG,"€ 684,87",1583.85
202304,sconosciuto,Indennita di funzione,IRES,1421.26,7673.61
202310,INAIL,Indennita di funzione,IRES,"€ 598,55",2666.73
202404,n.a.,Straordinario,INAIL,"1.167,62",5206.36
09/23,INPS,Trattenuta sindacale,ADD_REG,833.69,3058.82
202410,Comune di Milano,Anticipo TFR,INPS,315.07,1350.82
06/2025,INPS,Rimborso spese,IRPEF,515.06,1346.53
202509,Ministero dell'Economia,Rimborso spese,irpef,997.13,4944.85
202504,sconosciuto,Anticipo TFR,iva,1025.64,2359.04
202401,Regione Lazio,Rimborso spese,IVA,680.40,3346.97
2023-02,Agenzia delle Entrate,Trattenuta sindacale,ADD_COM,"381,54",2058.76
202206,INPS,Trattenuta sindacale,IRAP,"1.096,76",4266.26
202411,Comune di Milano,Buoni pasto,IRES,294.87,1191.07
202202,Agenzia delle Entrate,Stipendio base,ADD_COM,"1.408,17",4574.94
202506,Regione Lazio,Rimborso spese x,IRES,322.46,
09/2025,INAIL,Rimborso spese,IRPEF,205.60,1014.12
202203,Agenzia delle Entrate,Rimborso spese x,IVA,"€ 771,59",2682.01
202509,Comune di Milano,Buoni pasto,IVA,"€ 803,35",
2022-04,INAIL,Premio produttivita,INPS,786.88,2264.89
202410,Ministero dell'Economia,Anticipo TFR,ADD_COM,683.17,2634.09
202207,INAIL,Buoni pasto,ADD_COM,"1.492,48",8612.02
202307,Ministero della Salute,Trattenuta sindacale,IRAP,755.11,3727.66
202403,Comune di Roma,Stipendio base,ADD_COM,743.02,2125.76
06/23,INPS,Premio produttivita,INAIL,661.56,3597.73
202311,Agenzia delle Entrate,Anticipo TFR,IRPEF,146.90,516.03
2025-01,INAIL,Rimborso spese,ADD_COM,909.79,4919.13
202510,Agenzia delle Entrate,Premio produttivita,IRES,"€ 380,55",1129.02
202206,Agenzia delle Entrate,Premio produttivita,INPS,974.53,4360.67
2024-09,Comune di Roma,Premio produttivita,ADD_REG,123.71,705.97
202408,Ministero dell'Economia,Buoni pasto,IRES,1473.01,4465.54
202306,Ministero dell'Economia,Stipendio base,IRAP,730.06,3483.63
202404,Comune di Roma,Stipendio base,IVA,"€ 1.350,30",8033.27
2025-08,Ministero dell'Economia,Indennita di funzione,ADD_COM,739.56,179756.63
202502,Regione Lazio,Trattenuta sindacale,IRES,-137.48,323.57
202508,INPS,Rimborso spese,INAIL,1242.21,5834.39
02/23,INAIL,Trattenuta sindacale,IVA,989.87,3324.92
Rata 2023,Comune di Milano,Stipendio base,IRPEF,1183.55,2704.39
202508,,Indennita di funzione,Inail,670.85,2617.14
2023-02,INAIL,Anticipo TFR,n.c.,975.01,4889.76
10/24,INPS,Anticipo TFR,INPS,1291.53,4056.04
202300,Comune di Milano,Trattenuta sindacale,IRES,965.04,3223.41
202310,Comune di Roma,Premio produttivita,IRES,554.13,2982.77
2022-01,INAIL,Rimborso spese,IVA,1010.67,4123.82
202503,Ministero della Salute,Anticipo TFR,Inps,1024.19,5500.85
202206,Comune di Milano,Anticipo TFR,INPS,1442.85,5461.99
03/2022,Ministero dell'Economia,Rimborso spese,Ires,587.82,3416.35
jun-2025,INPS,Trattenuta sindacale,n.c.,"€ 666,37",3067.42
08/24,Agenzia delle Entrate,Rimborso spese,IRAP,1227.58,3024.26
202302,Ministero dell'Economia,Straordinario,INAIL,783.36,4340.11
202409,Ministero della Salute,Straordinario,Add_Reg,1118.03,4424.11
202302,Regione Lazio,Buoni pasto,INAIL,"€ 716,58",1839.14
202203,Regione Lazio,Buoni pasto,n.c.,362.47,946.32
202408,INPS,Buoni pasto,n.c.,1130.55,5370.27
202210,N.D.,Trattenuta sindacale,IRPEF,240.17,525.85
202403,INAIL,Trattenuta sindacale,n.c.,"337,95",1063.32
202504,Comune di Milano,Stipendio base,IRPEF,958.90,2453.97
202512,INPS,Buoni pasto,INPS,"1.133,54",4267.0
202313,Ministero della Salute,Buoni pasto,irpef,"1.347,30",4927.64
07/2025,Ministero dell'Economia,Anticipo TFR x,irpef,445.25,1819.96
202406,Ministero dell'Economia,Buoni pasto,INAIL,210.55,656.61
202305,Comune di Roma,Trattenuta sindacale,inail,N.D.,3056.63
202208,INAIL,Stipendio base,irpef,273.91,1220.97
202313,Ministero dell'Economia,Indennita di funzione,ADD_COM,336.62,1176.44
202404,Comune di Roma,Straordinario x,Irap,472.43,2175.7
202501,Ministero dell'Economia,Trattenuta sindacale,n.c.,817.62,1990.63
202202,INAIL,Straordinario,IRAP,1330.10,2733.5
mag-2024,Agenzia delle Entrate,Trattenuta sindacale,IVA,1152.79,3450.5
202506,INPS,Premio produttivita,IRES,1076.83,
202506,Agenzia delle Entrate,Indennita di funzione,IVA,304.01,1087.23
202306,Agenzia delle Entrate,Straordinario,n.c.,568.64,2980.36
202210,INPS,Indennita di funzione,IRPEF,"743,69",2611.36
202301,Ministero dell'Economia,Straordinario,IRAP,263.77,1087.2
202501,INPS,Rimborso spese,INAIL,446.47,1952.89
2025-04,Agenzia delle Entrate,Stipendio base,ADD_REG,497.08,1037.57
202499,Agenzia delle Entrate,Straordinario,IRAP,"€ 234,55",952.4
09/25,Comune di Milano,Stipendio base x,IRAP,N.D.,2865.16
202206,INPS,Anticipo TFR,ADD_REG,1072.29,3951.52
06/24,Comune di Milano,Rimborso spese,INAIL,"€ 151,40",363.53
202400,Ministero dell'Economia,Indennita di funzione,ADD_REG,747.63,3836.3
202202,INAIL,Indennita di funzione,Add_Com,1184.21,6832.44
202407,Ministero della Salute,Stipendio base,ADD_REG,1134.59,2370.24
202407,Ministero dell'Economia,Trattenuta sindacale x,ADD_COM,1231.86,5426.95
giu-2022,Regione Lazio,Premio produttivita,IVA,699.95,3538.51
202210,Ministero della Salute,Buoni pasto,IVA,1239.81,3892.05
2023-04,INPS,Anticipo TFR,IRAP,399.09,2055.4
202412,Comune di Milano,Straordinario,IRES,573.18,2596.17
202500,Ministero dell'Economia,Straordinario,INAIL,305.72,1747.69
202399,INAIL,Trattenuta sindacale,INAIL,727.85,4311.8
2023-07,Regione Lazio,Indennita di funzione,ADD_REG,618.49,1341.74
202511,Comune di Roma,Anticipo TFR,ires,399.34,1509.41
202306,Agenzia delle Entrate,Indennita di funzione,IVA,"1.140,08",4774.6
202304,Regione Lazio,Trattenuta sindacale,IRES,505.08,1306.63
01/24,Ministero dell'Economia,Buoni pasto,n.c.,445.57,
202205,INPS,Stipendio base,IRAP,"239,79",1426.89
202310,Comune di Milano,Trattenuta sindacale,IRES,"686,29",1417.14
giu-2024,Agenzia delle Entrate,Trattenuta sindacale,inps,489.30,1864.25
202511,INAIL,Straordinario,ADD_COM,585.45,3144.23
Rata 2024,Regione Lazio,Indennita di funzione,ADD_COM,392.20,1292.54
giu-2025,Agenzia delle Entrate,Stipendio base,IRPEF,-1156.58,4532.86
202404,Comune di Roma,Stipendio base,IRAP,"€ 1.398,50",
apr-2022,Ministero della Salute,Trattenuta sindacale,IRES,772.00,3010.42
202304,Comune di Milano,Stipendio base,IRAP,982.35,2479.14
202502,N.D.,Anticipo TFR,INPS,1307.40,2885.28
202208,Regione Lazio,Indennita di funzione,IRAP,N.D.,8662.67
202509,Comune di Roma,Rimborso spese,IRPEF,"939,60",2878.22
202402,INPS,Rimborso spese,INPS,1340.18,5382.51
202304,INPS,Trattenuta sindacale x,IRPEF,1367.48,
202503,INAIL,Anticipo TFR,ZZZ_RARE,1197.60,4424.68
202508,Comune di Roma,Stipendio base,IRPEF,"€ 718,35",4109.27
202209,Agenzia delle Entrate,Indennita di funzione,IRPEF,167.67,672.3
202209,Regione Lazio,Straordinario,IVA,72.92,429.1
Rata 2024,Comune di Milano,Indennita di funzione,ADD_REG,741.94,2252.04
202510,Comune di Milano,Straordinario,ADD_REG,766.76,3080.98
202204,Ministero dell'Economia,Straordinario,IRPEF,"640,68",3484.1
02/2024,N.D.,Premio produttivita,IRPEF,873.84,3314.48
202208,Regione Lazio,Straordinario,irap,850.64,2652.25
202411,INAIL,Anticipo TFR,INAIL,1263.09,6848.35
202412,INPS,Premio produttivita,INAIL,207.55,738.79
202203,Ministero della Salute,Anticipo TFR,ADD_REG,376.51,1552.31
2024-03,n.a.,Stipendio base,IRAP,1199.86,7086.5
2025-01,Ministero dell'Economia,Anticipo TFR,IRES,1279.36,3513.04
202502,,Buoni pasto,IRPEF,1492.50,4784.36
202207,Comune di Roma,Anticipo TFR,IRES,"€ 1.315,72",2794.96
07/2022,Comune di Milano,Straordinario,IRPEF,"1.340,35",4781.5
202205,,Anticipo TFR,ADD_REG,505.80,1416.61
202304,Comune di Milano,Buoni pasto,IRAP,632.41,2985.06
202210,INPS,Stipendio base,ADD_REG,"€ 438,72",1195.64
202506,Regione Lazio,Trattenuta sindacale,INPS,929.13,4366.22
202510,N.D.,Indennita di funzione,INPS,1411.27,4309.88
202512,Agenzia delle Entrate,Anticipo TFR,IVA,549.73,1880.56
202204,Comune di Roma,Straordinario,ADD_REG,"857,65",2912.1
202203,INPS,Indennita di funzione,IRPEF,479.63,2334.36
202512,sconosciuto,Buoni pasto,IRPEF,"296,21",1145.16
2023-08,Regione Lazio,Trattenuta sindacale,n.c.,333.02,1147.32
04/24,Ministero della Salute,Stipendio base,IVA,134.02,725.11
202508,Ministero dell'Economia,Premio produttivita,INPS,1426.48,6116.46
Rata 2022,Regione Lazio,Premio produttivita,INAIL,634.18,1810.79
11/23,Ministero della Salute,Rimborso spese,INPS,1259.48,7053.55
202204,INAIL,Buoni pasto,IRAP,1037.93,
202212,INPS,Trattenuta sindacale,IRAP,328.29,707.77
202212,Agenzia delle Entrate,Buoni pasto,ADD_REG,304.42,1211.1
202503,Agenzia delle Entrate,Buoni pasto,IRES,N.D.,3063.24
202402,Regione Lazio,Indennita di funzione,INPS,433.83,1281.48
07/25,Ministero dell'Economia,Stipendio base,INPS,"1.374,26",6855.42
01/2025,N.D.,Straordinario,ADD_REG,253.08,638.52
202504,Comune di Milano,Trattenuta sindacale,INAIL,"1.032,68",5398.62
202200,INAIL,Indennita di funzione,n.c.,1230.99,7075.27
202312,Ministero della Salute,Stipendio base,IRAP,391.12,1731.15
202512,Comune di Milano,Premio produttivita,IRAP,"450,50",2181.07
202202,Comune di Roma,Straordinario,IVA,1448.55,7031.76
2022-11,Ministero della Salute,Buoni pasto,Ires,433.67,2589.54
202402,Ministero dell'Economia,Buoni pasto,INAIL,-673.44,2266.9
202509,Comune di Roma,Rimborso spese,IRES,677.15,1795.41
202511,Ministero dell'Economia,Rimborso spese,INAIL,416.90,1699.56
Rata 2025,Ministero dell'Economia,Straordinario,ADD_REG,1174.90,4855.86
202200,Comune di Roma,Premio produttivita,ADD_COM,1169.18,3170.41
202511,Ministero della Salute,Straordinario,IRPEF,598.56,2665.05
2025-02,Regione Lazio,Premio produttivita,ADD_REG,-1260.93,2593.1
202407,Ministero dell'Economia,Trattenuta sindacale,IRPEF,-358.96,2049.9
202506,Comune di Roma,Stipendio base,IRAP,"56,24",172.0
2025-04,Comune di Milano,Premio produttivita,IRES,878.19,1895.35
202301,INAIL,Stipendio base,Ires,1491.41,3628.6
202299,Agenzia delle Entrate,Premio produttivita,IRES,106.03,313.95
05/24,INAIL,Stipendio base,irpef,351.60,1088.42
Rata 2022,Comune di Roma,Indennita di funzione,ADD_REG,802.43,1710.17
202205,sconosciuto,Buoni pasto x,IRPEF,1224.41,3817.0
05/2022,Comune di Milano,Anticipo TFR,IVA,179.11,496.45
202411,INAIL,Trattenuta sindacale,INAIL,623.09,2189.84
202402,INAIL,Stipendio base,ADD_COM,"1.133,26",4012.5
2024-09,INAIL,Indennita di funzione,ADD_REG,"588,74",1975.83
202499,INPS,Anticipo TFR,IRES,323.81,1072.36
2024-05,sconosciuto,Rimborso spese,ADD_COM,333.47,786.63
202404,Regione Lazio,Stipendio base,INAIL,644.57,120072.42
202201,INAIL,Trattenuta sindacale,IRES,"745,15",2092.72
202512,Comune di Roma,Straordinario,IVA,1299.63,6532.72
202312,Comune di Roma,Indennita di funzione,ADD_COM,N.D.,
03/23,sconosciuto,Premio produttivita,IVA,1051.08,6005.98
202501,Comune di Milano,Buoni pasto x,IRES,"€ 1.475,33",5926.22
202402,Ministero della Salute,Indennita di funzione,ADD_COM,"647,17",2671.06
202201,Regione Lazio,Rimborso spese,ADD_COM,634.86,2068.58
202210,Comune di Roma,Trattenuta sindacale,Add_Com,1388.85,7077.24
202211,INAIL,Stipendio base,ADD_COM,406.52,2056.6
202302,INAIL,Trattenuta sindacale,ADD_REG,1108.23,
2022-09,Comune di Roma,Indennita di funzione,IVA,1144.13,
202403,Regione Lazio,Indennita di funzione,n.c.,191.79,716.8
202405,INAIL,Anticipo TFR,INPS,"728,94",3693.91
202508,Agenzia delle Entrate,Rimborso spese,IRES,340.82,1780.99
202409,Ministero della Salute,Indennita di funzione,IVA,318.79,1030.92
202411,Regione Lazio,Premio produttivita,INAIL,722.55,4130.8
202401,Regione Lazio,Buoni pasto,ADD_COM,469.67,1116.58
2022-03,Agenzia delle Entrate,Premio produttivita,IRAP,"1.204,29",7198.13
202204,Ministero dell'Economia,Rimborso spese,IRAP,1366.03,6939.93
202413,Comune di Roma,Straordinario,INAIL,1213.94,2880.78
202212,INPS,Buoni pasto,IRPEF,"€ 435,74",2015.26
202210,Ministero della Salute,Buoni pasto,INPS,447.49,956.16
202204,Comune di Roma,Rimborso spese,INAIL,419.36,2130.66
