_id,periodo,cod_comparto,comparto,cod_regione_origine,regione_origine,cod_regione_destinazione,regione_destinazione,trasferimenti_in,trasferimenti_out,saldo,tipologia,data_aggiornamento,note,fonte,Cod Comparto,trasferimenti in
a0d653635dd5b91e3d564fc4,202306,4,SANITA',20,SARDEGNA,09,TOSCANA,9,10,-1,Trasferimento d'ufficio,2025-06-25,,,4,9
f4fbf6a79054c2da784fed7e,202408,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,06,FRIULI-VENEZIA GIULIA,04,TRENTINO-ALTO ADIGE,7,4,3,Trasferimento d'ufficio,2024-10-05,,,6,7
455a8e4ae12ffe55618bad4f,202404,2,FUNZIONI LOCALI,06,FRIULI-VENEZIA GIULIA,01,PIEMONTE,12,6,6,Assegnazione temporanea,2024-10-30,,,2,12
24be7446240a1f618688c73b,202408,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,04,TRENTINO-ALTO ADIGE,14,MOLISE,9,7,2,Comando,2025-07-04,,,6,9
b44e5bc50e50dbae263fd008,202403,1,FUNZIONI CENTRALI,13,ABRUZZO,08,EMILIA-ROMAGNA,3,8,-5,Mobilita' volontaria,2025-09-15,,,1,3
689cf108a3fc858ce6460aa1,202307,1,FUNZIONI CENTRALI,16,PUGLIA,12,LAZIO,9,4,5,Trasferimento d'ufficio,2024-09-19,in verifica,,1,9
e628f09c93a325c1b70c0bd3,202409,3,ISTRUZIONE E RICERCA,09,TOSCANA,10,UMBRIA,13,5,8,Trasferimento d'ufficio,2025-01-29,,,3,13
0fa7baa9f942eabfa64e493b,202409,4,SANITA',04,TRENTINO-ALTO ADIGE,16,PUGLIA,9,8,1,Distacco,2025-09-01,,,4,9
3b4e7ce6eaaf982341ede142,202408,2,FUNZIONI LOCALI,18,CALABRIA,12,LAZIO,12,8,4,Assegnazione temporanea,2025-05-15,,,2,12
694d924065a674ef69713040,202303,1,FUNZIONI CENTRALI,06,FRIULI-VENEZIA GIULIA,16,-,8,0,8,Mobilita' volontaria,2025-05-27,,,1,8
1eb17325a50f5fe761c2519c,202303,5,SICUREZZA-DIFESA,17,BASILICATA,09,TOSCANA,10,12,-2,Passaggio diretto,2025-01-20,,,5,10
5d044f58f371ebdb411dc9cc,202305,3,ISTRUZIONE E RICERCA,04,TRENTINO-ALTO ADIGE,20,SARDEGNA,"9,0",9,0,Assegnazione temporanea,2024-09-21,,,3,9
c99f1325ca6aa41569ab88da,202306,4,SANITA',19,SICILIA,17,BASILICATA,9,11,-2,Comando,2024-11-18,,,4,9
9e606d94e7bb03c3ae6b462f,202304,4,SANITA',11,MARCHE,08,EMILIA-ROMAGNA,12,8,27,Trasferimento d'ufficio,2025-07-20,,,4,12
5f5f038b014428d1782e48b9,202410,3,ISTRUZIONE E RICERCA,14,MOLISE,12,LAZIO,14,7,7,Distacco,2024-11-04,,,3,14
1d91a31ef81074c130926a71,202409,3,ISTRUZIONE E RICERCA,02,VALLE D'AOSTA,20,SARDEGNA,10,6,4,Trasferimento d'ufficio,2025-02-05,,,3,10
946b17c8edd4eabb9e949922,202402,4,SANITA',19,SICILIA,05,VENETO,8,8,0,Mobilita' volontaria,2025-01-17,,,4,8
23df05f607b6f3a467e7c888,202312,4,SANITA',20,SARDEGNA,10,UMBRIA,10,9,-18,Mobilita' volontaria,2025-03-29,,,4,10
6a1fd9e03f0be9a4e7e6cf21,202308,4,SANITA',10,UMBRIA,18,CALABRIA,8,5,3,Distacco,2025-03-20,,,4,8
544fb66e630ad3d613911306,202408,3,ISTRUZIONE E RICERCA,19,SICILIA,08,EMILIA-ROMAGNA,9,8,1,Assegnazione temporanea,2025-02-04,,,3,9
f5eb28aca1637c5fe3d441dd,202309,2,FUNZIONI LOCALI,09,TOSCANA,06,FRIULI-VENEZIA GIULIA,17,5,12,Distacco,2025-05-29,,,2,17
ae7cd124d1f9007c3710e345,202408,4,SANITA',16,PUGLIA,04,TRENTINO-ALTO ADIGE,"9,0",6,3,Assegnazione temporanea,2025-07-13,,,4,9
30910056fcff2f97f4fd7b6c,202310,4,SANITA',07,LIGURIA,04,TRENTINO-ALTO ADIGE,10,6,4,Trasferimento d'ufficio,2024-12-16,,,4,10
4dab5b23e892aba0fcfb18fa,202411,4,SANITA',19,SICILIA,06,FRIULI-VENEZIA GIULIA,5,9,-4,Assegnazione temporanea,2025-09-29,,,4,5
87668a059ac65565716d7f42,202310,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,17,BASILICATA,08,EMILIA-ROMAGNA,9,7,2,Assegnazione temporanea,2025-04-17,,,6,9
ffbe397665a1dc58a325a594,202310,5,SICUREZZA-DIFESA,13,ABRUZZO,20,SARDEGNA,7,5,2,Distacco,2024-10-28,,,5,7
d919b99eb9cc6327a5c87117,202312,5,SICUREZZA-DIFESA,03,LOMBARDIA,18,CALABRIA,7,12,-5,Trasferimento d'ufficio,2024-10-08,,,5,7
af647b522ce5b7ab751938c8,202309,2,FUNZIONI LOCALI,16,PUGLIA,07,LIGURIA,10,10,0,Passaggio diretto,2024-10-01,,,2,10
d2176580e15dd35fbb352017,202305,2,FUNZIONI LOCALI,01,PIEMONTE,14,MOLISE,7,10,-3,Comando,2024-09-06,,,2,7
e34f70435478a5396aa3ba89,202410,4,SANITA',10,UMBRIA,16,PUGLIA,9,3,6,Assegnazione temporanea,2025-04-29,,,4,9
db79dcb7b57b862fc9e7647f,2024-02,2,FUNZIONI LOCALI,09,TOSCANA,17,BASILICATA,3,5,-2,Passaggio diretto,2024-12-10,,,2,3
e1310a82365cba43e0fc0b83,202301,4,SANITA',10,UMBRIA,10,UMBRIA,11,3,8,Distacco,2025-04-18,,,4,11
4b50b09cbb9462338cfacac6,202302,1,FUNZIONI CENTRALI,18,CALABRIA,04,TRENTINO-ALTO ADIGE,10,7,3,Passaggio diretto,2024-12-04,,,1,10
e1a44d7d05e611bf97075c55,202410,2,FUNZIONI LOCALI,19,SICILIA,04,TRENTINO-ALTO ADIGE,9,7,2,Assegnazione temporanea,2025-04-17,,,2,9
96fd658c6ff872d620ed55a0,202403,3,ISTRUZIONE E RICERCA,08,EMILIA-ROMAGNA,16,PUGLIA,5,11,-6,Assegnazione temporanea,2024-11-14,,,3,5
aee3c3abbe41bb7330f1f3c9,202311,2,FUNZIONI LOCALI,05,VENETO,02,VALLE D'AOSTA,8,6,2,Trasferimento d'ufficio,2024-12-23,,,2,8
c1f3c65b2b61b7da1a65a8ac,202405,1,NULL,18,CALABRIA,20,SARDEGNA,10,7,3,Passaggio diretto,2025-07-31,,,1,10
e5d125ff0280d215d0b2eb0a,202404,4,SANITA',14,MOLISE,10,UMBRIA,12,5,7,Mobilita' volontaria,2025-02-01,,,4,12
3044f5950413eedb42fbb2c2,202407,3,ISTRUZIONE E RICERCA,16,PUGLIA,01,PIEMONTE,10,10,0,Mobilita' volontaria,2024-12-10,,,3,10
0d0361f48561cfe76dc9696a,202409,4,SANITA',8,EMILIA-ROMAGNA,04,TRENTINO-ALTO ADIGE,9,12,-3,Assegnazione temporanea,2024-09-10,,,4,9
721242a91eaa61bd71dcb9d5,202309,1,FUNZIONI CENTRALI,14,MOLISE,13,ABRUZZO,6,6,0,Passaggio diretto,2025-06-05,,,1,6
d36293ca981792f618fd7185,202407,1,FUNZIONI CENTRALI,02,VALLE D'AOSTA,13,ABRUZZO,11,5,6,Comando,24/10/2024,,,1,11
061a79bd13be6bf9087bed48,202406,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,19,SICILIA,10,UMBRIA,"6,0",8,-2,Comando,2025-03-29,,,6,6
fd9188ffeb40cb9724e8f79d,202310,4,SANITA',08,EMILIA-ROMAGNA,09,TOSCANA,11,4,7,Distacco,2025-09-19,,,4,11
c8e1e0745f035ea7e4378517,202409,1,FUNZIONI CENTRALI,01,PIEMONTE,05,VENETO,"11,0",11,0,Comando,2025-06-15,,,1,11
05bceddb4ad70b29e07ad67b,202404,1,FUNZIONI CENTRALI,19,SICILIA,01,PIEMONTE,9,9,0,Comando,2025-10-05,,,1,9
0c9ab98581381185ac8bd193,202405,6,-,04,TRENTINO-ALTO ADIGE,04,TRENTINO-ALTO ADIGE,4,13,-9,Comando,2025-05-14,,,6,4
c24aedc95d09990b094f9f51,202302,4,SANITA',16,PUGLIA,07,LIGURIA,9,7,2,Passaggio diretto,2025-04-15,,,4,9
5a6f072e9241dd8cdd069353,202402,,FUNZIONI CENTRALI,04,TRENTINO-ALTO ADIGE,11,MARCHE,15,7,8,Mobilita' volontaria,2025-06-01,,,1,15
21ba4f5e65f30a7fa00cb619,202306,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,02,VALLE D'AOSTA,07,LIGURIA,10,8,2,Distacco,2025-01-25,,,6,10
afdd0274c51f75d415a390a5,202308,1,FUNZIONI CENTRALI,09,TOSCANA,16,PUGLIA,7,9,-2,Mobilita' volontaria,2024-12-10,,,1,7
4a6ee03294bfe8618dba2019,202409,5,SICUREZZA-DIFESA,08,EMILIA-ROMAGNA,18,,8,12,-4,Distacco,2025-08-28,,,5,8
cb639e1da4ba92af2fc4892d,202401,5,SICUREZZA-DIFESA,07,LIGURIA,09,TOSCANA,11,12,-1,Comando,2025-08-16,,,5,11
0c6ac2e06bcae582fa101d30,202406,4,SANITA',10,UMBRIA,11,MARCHE,9,5,4,Passaggio diretto,2025-07-12,,,4,9
1bfd10a11155391991f71e81,202306,4,SANITA',19,SICILIA,12,LAZIO,7,7,0,Mobilita' volontaria,2025-01-17,,,4,7
3d2b69a12855db2f7ba2472d,202305,3,ISTRUZIONE E RICERCA,09,TOSCANA,11,MARCHE,7,6,1,Passaggio diretto,2025-05-04,,,3,7
9bdc49143dce70bbbae5e160,202412,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,03,LOMBARDIA,04,TRENTINO-ALTO ADIGE,7,9,-2,Comando,2024-10-20,,,6,7
d0bb0e9496901f5d63054bff,202310,1,FUNZIONI CENTRALI,17,BASILICATA,18,CALABRIA,10,6,4,Distacco,2025-10-04,,,1,10
0445332402ec4ceaacaf2c46,202408,5,SICUREZZA-DIFESA,07,LIGURIA,17,BASILICATA,"11,0",11,0,Assegnazione temporanea,2025-06-12,,,5,11
3c294c624edffc080f297665,202405,3,ISTRUZIONE E RICERCA,08,EMILIA-ROMAGNA,08,EMILIA-ROMAGNA,9,7,2,Distacco,2025-09-01,,,3,9
d6e690eb6c9628de5777ab38,202403,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,19,SICILIA,17,BASILICATA,11,10,1,Distacco,2025-09-24,,,6,11
fb5034b1c9809384adb39625,202403,1,FUNZIONI CENTRALI,10,UMBRIA,13,ABRUZZO,12,4,8,Comando,2025-05-17,,,1,12
164b22eefebd0162150b97a0,202403,3,ISTRUZIONE E RICERCA,15,CAMPANIA,02,VALLE D'AOSTA,8,5,3,Trasferimento d'ufficio,2025-05-23,,,3,8
f724bf428a0b081dc585b11f,2024-03,1,FUNZIONI CENTRALI,14,MOLISE,-,UMBRIA,9,10,-1,Trasferimento d'ufficio,2024-09-01,,,1,9
01ff755b7f275ba84908856f,202408,4,SANITA',08,EMILIA-ROMAGNA,03,LOMBARDIA,10,7,-35,Assegnazione temporanea,2024-10-29,,,4,10
52a7c65f6c332cc9db6101d8,202302,1,FUNZIONI CENTRALI,02,VALLE D'AOSTA,20,SARDEGNA,10,9,1,Assegnazione temporanea,2024-11-15,,,1,10
69747e5b8d550ca26ee58ba6,202303,5,SICUREZZA-DIFESA,05,VENETO,18,CALABRIA,11,11,0,Mobilita' volontaria,2025-01-18,,,5,11
e49fa0bafc819c4f3eef9b9b,202302,,FUNZIONI LOCALI,07,LIGURIA,04,TRENTINO-ALTO ADIGE,8,8,0,Distacco,2024-09-10,,,2,8
4288db10a037179744a710b9,202408,5,SICUREZZA-DIFESA,04,TRENTINO-ALTO ADIGE,13,ABRUZZO,13,3,10,Distacco,2025-07-04,,,5,13
dfbecf7e0067b45ba61199c4,202303,3,ISTRUZIONE E RICERCA,09,TOSCANA,13,ABRUZZO,8,8,0,Comando,2025-04-18,,,3,8
6928c6b663aab00e95fef6c7,202411,2,FUNZIONI LOCALI,19,SICILIA,14,MOLISE,6,13,-7,Mobilita' volontaria,2025-03-02,,,2,6
3df4128f3e722ce4edb1611f,202409,,FUNZIONI LOCALI,17,BASILICATA,05,VENETO,10,6,4,Distacco,2025-09-08,,,2,10
5c0673f80395a252c69a8c69,202405,5,SICUREZZA-DIFESA,11,MARCHE,13,ABRUZZO,11,4,7,Distacco,2025-06-22,,,5,11
e8cba22756d4efee3f594531,2023-01,2,FUNZIONI LOCALI,04,TRENTINO-ALTO ADIGE,11,MARCHE,8,8,0,Assegnazione temporanea,2025-03-16,,,2,8
f8da7952081fa2e07a4a275e,202410,3,ISTRUZIONE E RICERCA,19,SICILIA,15,CAMPANIA,7,11,-4,Distacco,2024-12-07,,,3,7
b632569e33e7cadde5ae74aa,202412,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,14,MOLISE,11,MARCHE,13,11,2,Passaggio diretto,2024-12-01,,,6,13
5c9fb28a591652bdbe23e9a6,202310,1,FUNZIONI CENTRALI,11,MARCHE,05,VENETO,7,4,3,Distacco,2025-10-03,,,1,7
6dc4726b4a27caaf9bbbc17a,202307,6,VIGILI DEL FUOCO E SOCCORSO PUBBLICO,03,LOMBARDIA,01,PIEMONTE,7,4,3,Comando,08/06/2025,,,6,7
c82d68b3cfa56a48f418f96d,202305,1,FUNZIONI CENTRALI,13,ABRUZZO,05,VENETO,12,4,8,Trasferimento d'ufficio,2024-10-17,,,1,12
743c57a30b2eded0b21d7429,202403,2,FUNZIONI LOCALI,10,UMBRIA,15,CAMPANIA,11,9,2,Trasferimento d'ufficio,2025-06-15,,,2,11
5988f30ca7df91c8a69a5af0,202410,1,FUNZIONI CENTRALI,20,SARDEGNA,16,PUGLIA,7,10,-3,Comando,27/02/2025,,,1,7
b0cbc4737d0efdd31b97656a,202402,2,FUNZIONI LOCALI,12,LAZIO,07,LIGURIA,12,9,3,Mobilita' volontaria,30/09/2025,,,2,12
f784f58dee5e4e2aa4e456cd,202308,4,SANITA',09,TOSCANA,,TOSCANA,11,5,6,Distacco,2025-06-09,in verifica,,4,11
85a6b4c93821701a04986819,202312,1,FUNZIONI CENTRALI,19,SICILIA,13,ABRUZZO,7,4,3,Passaggio diretto,2025-02-03,,,1,7
0ab87c6f3611a120c8307a64,202404,1,FUNZIONI CENTRALI,09,TOSCANA,09,TOSCANA,12,6,6,Assegnazione temporanea,2025-05-29,,,1,12
70919b9d309b8aa155b72102,202403,2,FUNZIONI LOCALI,04,TRENTINO-ALTO ADIGE,07,LIGURIA,12,8,4,Distacco,2025-04-23,,,2,12
cb4e7a765ac37b9102bbf6f7,202305,1,FUNZIONI CENTRALI,16,PUGLIA,17,BASILICATA,8,4,4,Comando,2025-04-17,,,1,8
b99a5440caed6463187b45b7,202305,5,SICUREZZA-DIFESA,18,CALABRIA,04,TRENTINO-ALTO ADIGE,3,7,-4,Assegnazione temporanea,2025-02-23,,,5,3
d5f19c6c082fca206480dc86,202312,1,FUNZIONI CENTRALI,01,PIEMONTE,07,LIGURIA,4,6,-2,Mobilita' volontaria,2024-11-27,,,1,4
fbbdfe88a6809c92c0b7ce4d,202304,2,FUNZIONI LOCALI,08,EMILIA-ROMAGNA,18,CALABRIA,10,9,1,Comando,2025-09-19,,,2,10
7b3ac3b11be3dfb798b94f29,202409,4,SANITA',19,SICILIA,,PIEMONTE,5,5,0,Comando,2024-09-14,,,4,5
a9a1f9d6c8fe28adedff756a,202408,5,SICUREZZA-DIFESA,01,PIEMONTE,06,FRIULI-VENEZIA GIULIA,9,11,-2,Mobilita' volontaria,10/09/2025,,,5,9
09fd63fee1d0b4574113f496,202308,5,SICUREZZA-DIFESA,13,ABRUZZO,05,VENETO,8,8,0,Mobilita' volontaria,2025-08-24,,,5,8
